,f1_macro,f1,mcc,f1_samples
infiltrazione_sfinteri,0.39999999999999997,0.13333333333333333,-0.04033637592895942,
infiltrazione_organi_extra,0.4838235294117647,0.35,0.10075171280362596,
coinvolgimento_riflessione_peritoneale,0.38708414872798436,0.17142857142857143,-0.10425720702853739,
coinvolgimento_fascia_mesorettale,0.5330335524040124,0.4897959183673469,0.0844731994270118,
depositi_tumorali,0.3338815789473684,0.0625,-0.15200130132467815,
emvi_esteso,0.38708414872798436,0.17142857142857143,-0.13259870882635919,
stadio_N,0.3732142857142857,0.675,-0.1947683487305688,
stadio_N1c,0.3076923076923077,0.0,-0.27255405754769874,
mrf,0.5077138849929874,0.5806451612903226,0.038778336716474064,
emvi,0.4698457223001402,0.391304347826087,-0.026207120918047954,
metastasi,0.4344365312107248,0.1935483870967742,-0.042949093962924435,
morfologia,0.34584318360914107,,0.06938201444259863,
riflessione_peritoneale_anteriore,0.26713392248197,,-0.09482129334796324,
infiltrazione_tessuto_adiposo,0.2208761089216497,,-0.06243701862648495,
stadio_T,0.2856231487810435,,0.10851843726617535,
posizione,0.3772143754862649,,,0.3537037037037037
posizione_basso,0.5330335524040124,0.4897959183673469,,
posizione_medio,0.5368782161234991,0.5454545454545454,,
posizione_alto,0.5014204545454546,0.4090909090909091,,
posizione_giunzione,0.3439463762044407,0.06451612903225806,,
infiltrazione_organi_dettagli,0.25384615384615383,,,0.12962962962962962
infiltrazione_organi_dettagli_pavimento_pelvico,0.4461538461538461,0.2,,
infiltrazione_organi_dettagli_altro,0.4581939799331104,0.3076923076923077,,
sedi_linfonodi,0.3345363408521303,,,0.3415343915343915
sedi_linfonodi_mesorettali,0.43157894736842106,0.6,,
sedi_linfonodi_rettali_superiori,0.554945054945055,0.5714285714285714,,
sedi_linfonodi_otturatori,0.38708414872798436,0.17142857142857143,,
sedi_linfonodi_iliaci,0.43157894736842106,0.2631578947368421,,
sedi_linfonodi_altro,0.35384615384615387,0.06666666666666667,,
