,f1_macro,f1,mcc,f1_samples
infiltrazione_sfinteri,0.47572815533980584,0.0,0.0,
infiltrazione_organi_extra,0.44329896907216493,0.0,0.0,
coinvolgimento_riflessione_peritoneale,0.46,0.0,0.0,
coinvolgimento_fascia_mesorettale,0.3793103448275862,0.0,0.0,
depositi_tumorali,0.4807692307692308,0.0,0.0,
emvi_esteso,0.45454545454545453,0.0,0.0,
stadio_N,0.46534653465346537,0.9306930693069307,0.0,
stadio_N1c,0.4807692307692308,0.0,0.0,
mrf,0.3333333333333333,0.0,0.0,
emvi,0.4,0.0,0.0,
metastasi,0.46,0.0,0.0,
morfologia,0.2222222222222222,,0.0,
riflessione_peritoneale_anteriore,0.2109704641350211,,0.0,
infiltrazione_tessuto_adiposo,0.27106227106227104,,0.0,
stadio_T,0.13513513513513514,,0.0,
posizione,0.0,,,0.0
posizione_basso,0.39325842696629215,0.0,,
posizione_medio,0.3333333333333333,0.0,,
posizione_alto,0.38636363636363635,0.0,,
posizione_giunzione,0.4857142857142857,0.0,,
infiltrazione_organi_dettagli,0.0,,,0.0
infiltrazione_organi_dettagli_pavimento_pelvico,0.47058823529411764,0.0,,
infiltrazione_organi_dettagli_altro,0.45454545454545453,0.0,,
sedi_linfonodi,0.175,,,0.5753086419753086
sedi_linfonodi_mesorettali,0.4375,0.875,,
sedi_linfonodi_rettali_superiori,0.3333333333333333,0.0,,
sedi_linfonodi_otturatori,0.47572815533980584,0.0,,
sedi_linfonodi_iliaci,0.47058823529411764,0.0,,
sedi_linfonodi_altro,0.47572815533980584,0.0,,
