field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,f1_samples
ore_inizio,validation,2.9565217391304346,0.6847826086956522,0.27380952380952384,0.0,0.0,,,,
ore_inizio,test,2.85,0.4381818181818182,0.22988505747126436,0.0,0.0,,,,
ore_fine,validation,3.1739130434782608,0.9770531400966185,0.27380952380952384,0.0,0.0,,,,
ore_fine,test,3.2,0.6545454545454544,0.22988505747126436,0.0,0.0,,,,
spessore_parietale,validation,6.0,0.4265654979940695,0.10294117647058823,0.0,0.0,,,,
spessore_parietale,test,11.133333333333333,0.7891140957807624,0.18292682926829268,0.0,0.0,,,,
estensione_cranio_caudale,validation,12.372881355932204,0.286696588944507,0.49166666666666664,0.0,0.0,,,,
estensione_cranio_caudale,test,13.661290322580646,0.2967185749748702,0.4806201550387597,0.0,0.0,,,,
distanza_oai,validation,20.636363636363637,0.6086779603412894,0.47413793103448276,0.0,0.0,,,,
distanza_oai,test,24.704918032786885,0.6433290113648158,0.4765625,0.0,0.0,,,,
linfonodi_sospetti,validation,1.2459016393442623,0.5525,1.0,0.0,0.0,,,,
linfonodi_sospetti,test,1.1791044776119404,0.5113636363636362,1.0,0.0,0.0,,,,
infiltrazione_sfinteri,validation,,,,,,0.5503685503685504,0.18181818181818182,0.1829803800924259,
infiltrazione_sfinteri,test,,,,,,0.5214285714285715,0.14285714285714285,0.07124035352189666,
infiltrazione_organi_extra,validation,,,,,,0.4623397435897436,0.15384615384615385,-0.07395307244247075,
infiltrazione_organi_extra,test,,,,,,0.4939244663382594,0.20689655172413793,-0.009248779053004051,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.4535596416784536,0.09523809523809523,-0.09251872672604673,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.5820183486238533,0.32,0.16454227544158292,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.45425685425685425,0.5974025974025974,0.014455276465134314,
coinvolgimento_fascia_mesorettale,test,,,,,,0.48574561403508776,0.7083333333333334,-0.0011427683368827174,
numero_linfonodi_non_conosciuto,validation,,,,,,0.4495488105004102,0.5217391304347826,-0.07022278645336014,
numero_linfonodi_non_conosciuto,test,,,,,,0.5347222222222222,0.625,0.07344151792536055,
depositi_tumorali,validation,,,,,,0.44036697247706424,0.0,-0.11609086505314302,
depositi_tumorali,test,,,,,,0.47871853546910753,0.10526315789473684,-0.04216529631680419,
emvi,validation,,,,,,0.39603960396039606,0.0,-0.20769510081357428,
emvi,test,,,,,,0.5431818181818182,0.25,0.08636363636363636,
stadio_N1c,validation,,,,,,0.44036697247706424,0.0,-0.11609086505314302,
stadio_N1c,test,,,,,,0.47871853546910753,0.10526315789473684,-0.04216529631680419,
mrf,validation,,,,,,0.4765446224256293,0.6052631578947368,0.07770048527754131,
