field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,f1_samples
ore_inizio,validation,2.9565217391304346,0.6847826086956522,0.27380952380952384,0.0,0.0,,,,
ore_inizio,test,2.85,0.4381818181818182,0.22988505747126436,0.0,0.0,,,,
ore_fine,validation,3.1739130434782608,0.9770531400966185,0.27380952380952384,0.0,0.0,,,,
ore_fine,test,3.2,0.6545454545454544,0.22988505747126436,0.0,0.0,,,,
spessore_parietale,validation,6.0,0.4265654979940695,0.10294117647058823,0.0,0.0,,,,
spessore_parietale,test,11.133333333333333,0.7891140957807624,0.18292682926829268,0.0,0.0,,,,
estensione_cranio_caudale,validation,12.372881355932204,0.286696588944507,0.49166666666666664,0.0,0.0,,,,
estensione_cranio_caudale,test,13.661290322580646,0.2967185749748702,0.4806201550387597,0.0,0.0,,,,
distanza_oai,validation,20.636363636363637,0.6086779603412894,0.47413793103448276,0.0,0.0,,,,
distanza_oai,test,24.704918032786885,0.6433290113648158,0.4765625,0.0,0.0,,,,
linfonodi_sospetti,validation,1.2459016393442623,0.5525,1.0,0.0,0.0,,,,
linfonodi_sospetti,test,1.1791044776119404,0.5113636363636362,1.0,0.0,0.0,,,,
infiltrazione_sfinteri,validation,,,,,,0.3301033591731266,0.05555555555555555,-0.02126844290757003,
infiltrazione_sfinteri,test,,,,,,0.37577639751552794,0.14285714285714285,0.09298331221284054,
infiltrazione_organi_extra,validation,,,,,,0.5191441441441441,0.4166666666666667,0.17241319940281205,
infiltrazione_organi_extra,test,,,,,,0.5347222222222222,0.4444444444444444,0.2066903471672382,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.46678321678321677,0.3181818181818182,0.12714896342645862,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.4460193716040633,0.3137254901960784,0.04775182090788386,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.5569007263922519,0.5714285714285714,0.12134522574821355,
coinvolgimento_fascia_mesorettale,test,,,,,,0.48497554157931516,0.5925925925925926,-0.024380505282523283,
numero_linfonodi_non_conosciuto,validation,,,,,,0.45843422114608556,0.47619047619047616,-0.07692420560824252,
numero_linfonodi_non_conosciuto,test,,,,,,0.4528130671506352,0.5263157894736842,-0.09437386569872959,
depositi_tumorali,validation,,,,,,0.4158171146122953,0.20512820512820512,0.14595916273543819,
depositi_tumorali,test,,,,,,0.41569767441860467,0.25,0.027758401664943293,
emvi,validation,,,,,,0.5023310023310024,0.36363636363636365,0.21629938605880317,
emvi,test,,,,,,0.39380952380952383,0.24,-0.06331855493801984,
stadio_N1c,validation,,,,,,0.4158171146122953,0.20512820512820512,0.14595916273543819,
stadio_N1c,test,,,,,,0.41569767441860467,0.25,0.027758401664943293,
mrf,validation,,,,,,0.5408602150537634,0.5483870967741935,0.0922914776729151,
