field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,0.0,0.0,0.5367647058823529,0.8235294117647058,0.8235294117647058,,,,,
ore_inizio,test,0.0,0.0,0.6182336182336182,0.8518518518518519,0.8518518518518519,,,,,
ore_fine,validation,0.0,0.0,0.5367647058823529,0.8235294117647058,0.8235294117647058,,,,,
ore_fine,test,0.0,0.0,0.6182336182336182,0.8518518518518519,0.8518518518518519,,,,,
spessore_parietale,validation,0.8571428571428571,0.042857142857142864,0.9621621621621621,0.990990990990991,0.990990990990991,,,,,
spessore_parietale,test,0.0,0.0,0.8568376068376069,0.9444444444444444,0.9444444444444444,,,,,
estensione_cranio_caudale,validation,0.11666666666666667,0.002681548055961914,1.0,1.0,1.0,,,,,
estensione_cranio_caudale,test,0.39344262295081966,0.00637043428242738,0.8213333333333332,0.6666666666666666,0.6666666666666666,,,,,
distanza_oai,validation,6.019607843137255,0.2243060973284097,0.8055555555555556,0.6666666666666666,0.6666666666666666,,,,,
distanza_oai,test,2.9454545454545453,0.051923076923076926,0.7161016949152542,0.5,0.5,,,,,
linfonodi_sospetti,validation,3.0476190476190474,0.2935185185185185,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,2.8208955223880596,0.3531746031746032,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.7330508474576272,0.5,0.48583380158097345,,
infiltrazione_sfinteri,test,,,,,,0.7870311506675143,0.6153846153846154,0.6396648152257106,,
infiltrazione_organi_extra,validation,,,,,,0.7536437966583718,0.6206896551724138,0.5079721589671173,,
infiltrazione_organi_extra,test,,,,,,0.8768382352941176,0.8125,0.7536764705882353,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.9202195018995356,0.8695652173913043,0.8416966861016432,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.9548517520215634,0.9285714285714286,0.9135468796041986,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.6999159428411319,0.7951807228915663,0.45265665757325396,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.6436170212765957,0.7872340425531915,0.31166002782554014,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.5119081779053085,0.34146341463414637,0.32652357810550764,,
numero_linfonodi_non_conosciuto,test,,,,,,0.4895238095238095,0.36,0.21215221626394978,,
