field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,,,0.4056603773584906,0.8113207547169812,0.8113207547169812,,,,,
ore_inizio,test,,,0.41228070175438597,0.8245614035087719,0.8245614035087719,,,,,
ore_fine,validation,,,0.4056603773584906,0.8113207547169812,0.8113207547169812,,,,,
ore_fine,test,,,0.41228070175438597,0.8245614035087719,0.8245614035087719,,,,,
spessore_parietale,validation,1.0,0.04583333333333334,0.8157894736842105,0.9649122807017544,0.9649122807017544,,,,,
spessore_parietale,test,0.0,0.0,0.7969696969696969,0.9272727272727272,0.9272727272727272,,,,,
estensione_cranio_caudale,validation,32.97142857142857,0.5959868224959655,0.465195246179966,0.1935483870967742,0.1935483870967742,,,,,
estensione_cranio_caudale,test,32.71052631578947,0.6187010042371773,0.49744974497449745,0.24242424242424243,0.24242424242424243,,,,,
distanza_oai,validation,29.666666666666668,0.40487410487410486,0.23636363636363636,0.2,0.2,,,,,
distanza_oai,test,35.666666666666664,0.6015151515151514,0.1791044776119403,0.1791044776119403,0.1791044776119403,,,,,
linfonodi_sospetti,validation,2.7142857142857144,0.04351851851851852,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,2.8059701492537314,0.2341269841269841,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.48360655737704916,0.0,-0.028398091712353243,,
infiltrazione_sfinteri,test,,,,,,0.7254098360655737,0.5,0.4900218379501181,,
infiltrazione_organi_extra,validation,,,,,,0.6607692307692308,0.46153846153846156,0.3319061814530023,,
infiltrazione_organi_extra,test,,,,,,0.7912772585669782,0.6666666666666666,0.6022716762510588,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.8450565666502705,0.7368421052631579,0.7288689868556626,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.7853546910755149,0.631578947368421,0.6391987418055914,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.6211764705882353,0.6933333333333334,0.24532669073132907,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.6061845131612573,0.7472527472527473,0.220585268631235,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.31521739130434784,0.0,0.0,,
numero_linfonodi_non_conosciuto,test,,,,,,0.29473684210526313,0.0,0.0,,
depositi_tumorali,validation,,,,,,0.8703703703703703,0.7777777777777778,0.7687061147858074,,
depositi_tumorali,test,,,,,,0.935823754789272,0.8888888888888888,0.8791367106043311,,
emvi,validation,,,,,,0.8450565666502705,0.7368421052631579,0.7036397291258666,,
emvi,test,,,,,,0.8466819221967963,0.7368421052631579,0.7312470322826767,,
stadio_N1c,validation,,,,,,0.44518675979350136,0.21621621621621623,0.0674199862463242,,
stadio_N1c,test,,,,,,0.5214285714285715,0.4,0.3441236008058427,,
mrf,validation,,,,,,0.5460088691796009,0.4090909090909091,0.3651483716701107,,
mrf,test,,,,,,0.46575984990619135,0.34615384615384615,0.29429213183717134,,
metastasi,validation,,,,,,0.5394736842105263,0.16666666666666666,0.2761273878318673,,
metastasi,test,,,,,,0.44166666666666665,0.0,-0.06039525627828989,,
morfologia,validation,,,,,,0.4992592592592593,,0.560528929892204,,
morfologia,test,,,,,,0.506194992736905,,0.5790908527865022,,
riflessione_peritoneale_anteriore,validation,,,,,,0.1882426516572858,,0.10175751797734711,,
riflessione_peritoneale_anteriore,test,,,,,,0.15876840696117803,,0.08862027229500252,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.1764095468695953,,-0.019044703824386097,,
infiltrazione_tessuto_adiposo,test,,,,,,0.298015873015873,,0.043278122583968445,,
stadio_T,validation,,,,,,0.25229202037351445,,0.22429126671781233,,
stadio_T,test,,,,,,0.28386243386243387,,0.28850496497298306,,
stadio_N,validation,,,,,,0.5288055520715749,,0.45175431246286324,,
stadio_N,test,,,,,,0.43046536796536794,,0.3974418827625247,,
posizione,validation,,,,,,0.45831015943641085,,,,0.658201058201058
posizione_basso,validation,,,,,,0.8074702886247878,0.7096774193548387,,,
posizione_medio,validation,,,,,,0.7957559681697612,0.8735632183908046,,,
posizione_alto,validation,,,,,,0.4973404255319149,0.25,,,
posizione_giunzione,validation,,,,,,0.475,0.0,,,
posizione,test,,,,,,0.48123813612944044,,,,0.5333333333333331
posizione_basso,test,,,,,,0.6925775978407558,0.5641025641025641,,,
posizione_medio,test,,,,,,0.8356744704570791,0.8405797101449275,,,
posizione_alto,test,,,,,,0.4959598774031764,0.2702702702702703,,,
posizione_giunzione,test,,,,,,0.6011904761904762,0.25,,,
infiltrazione_organi_dettagli,validation,,,,,,0.28,,,,0.09523809523809523
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,0.4661016949152542,0.0,,,
infiltrazione_organi_dettagli_altro,validation,,,,,,0.7255445544554455,0.56,,,
