field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,0.0,0.0,0.6640597227159616,0.845360824742268,0.845360824742268,,,,,
ore_inizio,test,1.5,0.14444444444444443,0.7852564102564102,0.9038461538461539,0.9038461538461539,,,,,
ore_fine,validation,0.0,0.0,0.6936026936026936,0.8686868686868687,0.8686868686868687,,,,,
ore_fine,test,1.125,0.09375,0.72911051212938,0.8867924528301887,0.8867924528301887,,,,,
spessore_parietale,validation,0.42857142857142855,0.014285714285714287,0.9621621621621621,0.990990990990991,0.990990990990991,,,,,
spessore_parietale,test,0.0,0.0,0.8477272727272727,0.9454545454545454,0.9454545454545454,,,,,
estensione_cranio_caudale,validation,0.1016949152542373,0.002228493536471737,0.9243697478991597,0.8571428571428571,0.8571428571428571,,,,,
estensione_cranio_caudale,test,0.23333333333333334,0.004722222222222222,0.7838709677419355,0.6,0.6,,,,,
distanza_oai,validation,2.5918367346938775,0.19876757068875295,0.7622641509433963,0.6,0.6,,,,,
distanza_oai,test,2.5098039215686274,0.218,0.6473684210526316,0.4,0.4,,,,,
linfonodi_sospetti,validation,2.7777777777777777,0.2101851851851852,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,2.6417910447761193,0.2698412698412698,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.687603305785124,0.4,0.3846437568349851,,
infiltrazione_sfinteri,test,,,,,,0.7838709677419355,0.6,0.5828173250240297,,
infiltrazione_organi_extra,validation,,,,,,0.8253465346534654,0.72,0.6750436743382986,,
infiltrazione_organi_extra,test,,,,,,0.9589460784313726,0.9375,0.9178921568627451,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.9449300699300699,0.9090909090909091,0.8954813188742857,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.9768085842852198,0.9629629629629629,0.9546599716001826,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.8569987389659521,0.8615384615384616,0.7354631313529221,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.8159340659340659,0.8461538461538461,0.6566831020872996,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.31521739130434784,0.0,0.0,,
numero_linfonodi_non_conosciuto,test,,,,,,0.29473684210526313,0.0,0.0,,
depositi_tumorali,validation,,,,,,0.9571136827773996,0.9230769230769231,0.9176629354822471,,
depositi_tumorali,test,,,,,,0.9693363844393592,0.9473684210526315,0.9404694352400239,,
emvi,validation,,,,,,0.8752475247524752,0.8,0.7598832656550462,,
emvi,test,,,,,,0.8711538461538462,0.8,0.7706746355884524,,
stadio_N1c,validation,,,,,,0.9571136827773996,0.9230769230769231,0.9176629354822471,,
stadio_N1c,test,,,,,,0.9693363844393592,0.9473684210526315,0.9404694352400239,,
mrf,validation,,,,,,0.8569987389659521,0.8615384615384616,0.7248824356090754,,
mrf,test,,,,,,0.8159340659340659,0.8461538461538461,0.6566831020872996,,
metastasi,validation,,,,,,0.5394736842105263,0.16666666666666666,0.2761273878318673,,
metastasi,test,,,,,,0.4462809917355372,0.0,0.0,,
morfologia,validation,,,,,,0.5342330184435448,,0.6040422033377958,,
morfologia,test,,,,,,0.7505623031938821,,0.6332047257975671,,
riflessione_peritoneale_anteriore,validation,,,,,,0.5896982099072692,,0.4167956906740391,,
riflessione_peritoneale_anteriore,test,,,,,,0.5722723197806254,,0.4115892801126806,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.7046332046332046,,0.6147531782994006,,
infiltrazione_tessuto_adiposo,test,,,,,,0.8193732193732194,,0.72639529358953,,
stadio_T,validation,,,,,,0.6447568708642878,,0.5790479630079336,,
stadio_T,test,,,,,,0.7736687873529979,,0.7041764653668736,,
stadio_N,validation,,,,,,0.47435774309723894,,0.3750105588654779,,
stadio_N,test,,,,,,0.4880494505494505,,0.4205892633334114,,
posizione,validation,,,,,,0.764204286365709,,,,0.8645502645502645
posizione_basso,validation,,,,,,0.8764359764639955,0.8372093023255814,,,
posizione_medio,validation,,,,,,0.8734576757532281,0.9176470588235294,,,
posizione_alto,validation,,,,,,0.9176470588235295,0.9019607843137255,,,
posizione_giunzione,validation,,,,,,0.687603305785124,0.4,,,
posizione,test,,,,,,0.7843606030992601,,,,0.835820895522388
posizione_basso,test,,,,,,0.9088021778584392,0.896551724137931,,,
posizione_medio,test,,,,,,0.8784029038112522,0.8947368421052632,,,
posizione_alto,test,,,,,,0.874296435272045,0.8461538461538461,,,
posizione_giunzione,test,,,,,,0.7254098360655737,0.5,,,
infiltrazione_organi_dettagli,validation,,,,,,0.6227272727272727,,,,0.12698412698412698
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,0.7509881422924901,0.5454545454545454,,,
infiltrazione_organi_dettagli_altro,validation,,,,,,0.8216981132075472,0.7,,,
infiltrazione_organi_dettagli,test,,,,,,0.8466819221967963,,,,0.20398009950248755
infiltrazione_organi_dettagli_pavimento_pelvico,test,,,,,,0.9737563650607128,0.9565217391304348,,,
infiltrazione_organi_dettagli_altro,test,,,,,,0.8466819221967963,0.7368421052631579,,,
sedi_linfonodi,validation,,,,,,0.6808296118963215,,,,0.6804988662131518
sedi_linfonodi_mesorettali,validation,,,,,,0.5351696999508115,0.8598130841121495,,,
sedi_linfonodi_rettali_superiori,validation,,,,,,0.776369168356998,0.7586206896551724,,,
sedi_linfonodi_otturatori,validation,,,,,,0.8622448979591837,0.7857142857142857,,,
sedi_linfonodi_iliaci,validation,,,,,,0.8061538461538462,0.6923076923076923,,,
sedi_linfonodi_altro,validation,,,,,,0.6140231449965963,0.3076923076923077,,,
sedi_linfonodi,test,,,,,,0.7040156164560527,,,,0.73319118692253
sedi_linfonodi_mesorettali,test,,,,,,0.6473684210526316,0.8947368421052632,,,
sedi_linfonodi_rettali_superiori,test,,,,,,0.8057971014492754,0.8115942028985508,,,
sedi_linfonodi_otturatori,test,,,,,,0.825974025974026,0.7428571428571429,,,
sedi_linfonodi_iliaci,test,,,,,,0.8010796221322537,0.717948717948718,,,
sedi_linfonodi_altro,test,,,,,,0.6294620412267471,0.35294117647058826,,,
