field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,3.0,0.732608695652174,0.25842696629213485,0.0,0.0,,,,,
ore_inizio,test,3.1578947368421053,0.8349282296650717,0.2261904761904762,0.0,0.0,,,,,
ore_fine,validation,2.8260869565217392,0.38942687747035576,0.25842696629213485,0.0,0.0,,,,,
ore_fine,test,3.6315789473684212,0.6990430622009569,0.2261904761904762,0.0,0.0,,,,,
spessore_parietale,validation,11.555555555555555,0.8257834757834758,0.12,0.0,0.0,,,,,
spessore_parietale,test,10.75,0.6244075369075369,0.15584415584415584,0.0,0.0,,,,,
estensione_cranio_caudale,validation,13.67741935483871,0.27605459317199377,0.484375,0.0,0.0,,,,,
estensione_cranio_caudale,test,14.241935483870968,0.3290957321275373,0.4881889763779528,0.0,0.0,,,,,
distanza_oai,validation,24.633333333333333,0.6967246040535001,0.47619047619047616,0.0,0.0,,,,,
distanza_oai,test,23.35593220338983,0.6296122885607647,0.47580645161290325,0.0,0.0,,,,,
linfonodi_sospetti,validation,1.3484848484848484,0.5833333333333334,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,1.1846153846153846,0.5103174603174603,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.4961832061068702,0.0,0.0,,
infiltrazione_sfinteri,test,,,,,,0.4921875,0.0,0.0,,
infiltrazione_organi_extra,validation,,,,,,0.4358974358974359,0.0,0.0,,
infiltrazione_organi_extra,test,,,,,,0.4298245614035088,0.0,0.0,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.4406779661016949,0.0,0.0,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.4444444444444444,0.0,0.0,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.36538461538461536,0.7307692307692307,0.0,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.3925233644859813,0.7850467289719626,0.0,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.3333333333333333,0.6666666666666666,0.0,,
numero_linfonodi_non_conosciuto,test,,,,,,0.336734693877551,0.673469387755102,0.0,,
depositi_tumorali,validation,,,,,,0.472,0.0,0.0,,
depositi_tumorali,test,,,,,,0.4672131147540984,0.0,0.0,,
emvi,validation,,,,,,0.4406779661016949,0.0,0.0,,
emvi,test,,,,,,0.453781512605042,0.0,0.0,,
stadio_N1c,validation,,,,,,0.472,0.0,0.0,,
stadio_N1c,test,,,,,,0.4672131147540984,0.0,0.0,,
mrf,validation,,,,,,0.36538461538461536,0.7307692307692307,0.0,,
mrf,test,,,,,,0.3925233644859813,0.7850467289719626,0.0,,
metastasi,validation,,,,,,0.4634146341463415,0.0,0.0,,
metastasi,test,,,,,,0.4628099173553719,0.0,0.0,,
morfologia,validation,,,,,,0.21768707482993196,,0.0,,
morfologia,test,,,,,,0.21052631578947367,,0.0,,
riflessione_peritoneale_anteriore,validation,,,,,,0.17777777777777778,,0.0,,
riflessione_peritoneale_anteriore,test,,,,,,0.15079365079365079,,0.0,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.2554517133956386,,0.0,,
infiltrazione_tessuto_adiposo,test,,,,,,0.2654320987654321,,0.0,,
stadio_T,validation,,,,,,0.08941176470588236,,0.0,,
stadio_T,test,,,,,,0.10454545454545454,,0.0,,
stadio_N,validation,,,,,,0.0975609756097561,,0.0,,
stadio_N,test,,,,,,0.12643678160919541,,0.0,,
posizione,validation,,,,,,0.17647058823529413,,,,0.4303030303030303
posizione_basso,validation,,,,,,0.3944954128440367,0.0,,,
posizione_medio,validation,,,,,,0.35294117647058826,0.7058823529411765,,,
posizione_alto,validation,,,,,,0.37142857142857144,0.0,,,
posizione_giunzione,validation,,,,,,0.4883720930232558,0.0,,,
posizione,test,,,,,,0.1717171717171717,,,,0.43333333333333335
posizione_basso,test,,,,,,0.3867924528301887,0.0,,,
posizione_medio,test,,,,,,0.3434343434343434,0.6868686868686869,,,
posizione_alto,test,,,,,,0.4090909090909091,0.0,,,
posizione_giunzione,test,,,,,,0.4921875,0.0,,,
infiltrazione_organi_dettagli,validation,,,,,,0.0,,,,0.0
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,0.47619047619047616,0.0,,,
infiltrazione_organi_dettagli_altro,validation,,,,,,0.45,0.0,,,
infiltrazione_organi_dettagli,test,,,,,,0.0,,,,0.0
infiltrazione_organi_dettagli_pavimento_pelvico,test,,,,,,0.4715447154471545,0.0,,,
infiltrazione_organi_dettagli_altro,test,,,,,,0.4491525423728814,0.0,,,
sedi_linfonodi,validation,,,,,,0.17435897435897435,,,,0.5338383838383838
sedi_linfonodi_mesorettali,validation,,,,,,0.4358974358974359,0.8717948717948718,,,
sedi_linfonodi_rettali_superiori,validation,,,,,,0.3592233009708738,0.0,,,
sedi_linfonodi_otturatori,validation,,,,,,0.4406779661016949,0.0,,,
sedi_linfonodi_iliaci,validation,,,,,,0.44537815126050423,0.0,,,
sedi_linfonodi_altro,validation,,,,,,0.48031496062992124,0.0,,,
sedi_linfonodi,test,,,,,,0.16576576576576577,,,,0.5071794871794872
sedi_linfonodi_mesorettali,test,,,,,,0.4144144144144144,0.8288288288288288,,,
sedi_linfonodi_rettali_superiori,test,,,,,,0.375,0.0,,,
sedi_linfonodi_otturatori,test,,,,,,0.453781512605042,0.0,,,
sedi_linfonodi_iliaci,test,,,,,,0.4491525423728814,0.0,,,
sedi_linfonodi_altro,test,,,,,,0.4672131147540984,0.0,,,
