field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,3.0,0.732608695652174,0.25842696629213485,0.0,0.0,,,,,
ore_inizio,test,3.1578947368421053,0.8349282296650717,0.2261904761904762,0.0,0.0,,,,,
ore_fine,validation,2.8260869565217392,0.38942687747035576,0.25842696629213485,0.0,0.0,,,,,
ore_fine,test,3.6315789473684212,0.6990430622009569,0.2261904761904762,0.0,0.0,,,,,
spessore_parietale,validation,11.555555555555555,0.8257834757834758,0.12,0.0,0.0,,,,,
spessore_parietale,test,10.75,0.6244075369075369,0.15584415584415584,0.0,0.0,,,,,
estensione_cranio_caudale,validation,13.67741935483871,0.27605459317199377,0.484375,0.0,0.0,,,,,
estensione_cranio_caudale,test,14.241935483870968,0.3290957321275373,0.4881889763779528,0.0,0.0,,,,,
distanza_oai,validation,24.633333333333333,0.6967246040535001,0.47619047619047616,0.0,0.0,,,,,
distanza_oai,test,23.35593220338983,0.6296122885607647,0.47580645161290325,0.0,0.0,,,,,
linfonodi_sospetti,validation,1.3484848484848484,0.5833333333333334,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,1.1846153846153846,0.5103174603174603,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.45,0.0,-0.05547001962252291,,
infiltrazione_sfinteri,test,,,,,,0.4444444444444444,0.0,-0.08041631827286065,,
infiltrazione_organi_extra,validation,,,,,,0.5013736263736264,0.21428571428571427,0.004132196125789851,,
infiltrazione_organi_extra,test,,,,,,0.4895868897234551,0.20689655172413793,-0.017857142857142856,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.5689404934687954,0.3076923076923077,0.13977131156292244,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.6285714285714286,0.4,0.2577417653583968,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.3619022733211393,0.5842696629213483,-0.24606590559903885,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.47940503432494275,0.6956521739130435,-0.023496912561674712,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.45964912280701753,0.5333333333333333,-0.0629940788348712,,
numero_linfonodi_non_conosciuto,test,,,,,,0.5745454545454545,0.64,0.17227756548913709,,
depositi_tumorali,validation,,,,,,0.43103448275862066,0.0,-0.13686955053123634,,
depositi_tumorali,test,,,,,,0.5601249349297241,0.23529411764705882,0.12098465879442506,,
emvi,validation,,,,,,0.4731494920174166,0.15384615384615385,-0.05241424183609591,,
emvi,test,,,,,,0.550995530272247,0.2608695652173913,0.10249879721504898,,
stadio_N1c,validation,,,,,,0.43103448275862066,0.0,-0.13686955053123634,,
stadio_N1c,test,,,,,,0.5601249349297241,0.23529411764705882,0.12098465879442506,,
mrf,validation,,,,,,0.3619022733211393,0.5842696629213483,-0.24606590559903885,,
mrf,test,,,,,,0.47940503432494275,0.6956521739130435,-0.023496912561674712,,
metastasi,validation,,,,,,0.5752895752895753,0.2857142857142857,0.15609763526361567,,
metastasi,test,,,,,,0.4036697247706422,0.0,-0.19075675652968382,,
morfologia,validation,,,,,,0.41324722636198047,,0.12881921057144574,,
morfologia,test,,,,,,0.3081829779478768,,-0.013064357560451267,,
riflessione_peritoneale_anteriore,validation,,,,,,0.2870175438596491,,-0.03961261466508386,,
riflessione_peritoneale_anteriore,test,,,,,,0.26085810668353365,,-0.10371276455763159,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.23211875843454788,,-0.14745899366903592,,
infiltrazione_tessuto_adiposo,test,,,,,,0.260042735042735,,-0.11026028456741463,,
stadio_T,validation,,,,,,0.2647278434515461,,0.09552699539164226,,
stadio_T,test,,,,,,0.1833073593073593,,-0.023655217109526897,,
stadio_N,validation,,,,,,0.2220581658423656,,-0.028307886599938128,,
stadio_N,test,,,,,,0.12857142857142856,,-0.15114441499284387,,
posizione,validation,,,,,,0.32436438414699287,,,,0.39444444444444443
posizione_basso,validation,,,,,,0.4994944388270981,0.34782608695652173,,,
posizione_medio,validation,,,,,,0.4771668219944082,0.5405405405405406,,,
posizione_alto,validation,,,,,,0.5568181818181819,0.4090909090909091,,,
posizione_giunzione,validation,,,,,,0.45901639344262296,0.0,,,
posizione,test,,,,,,0.30828926752839797,,,,0.3851282051282051
posizione_basso,test,,,,,,0.3944099378881987,0.21739130434782608,,,
posizione_medio,test,,,,,,0.5330459770114943,0.5833333333333334,,,
posizione_alto,test,,,,,,0.6033129904097646,0.43243243243243246,,,
posizione_giunzione,test,,,,,,0.4628099173553719,0.0,,,
infiltrazione_organi_dettagli,validation,,,,,,0.14215686274509803,,,,0.030303030303030304
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,0.4936061381074169,0.11764705882352941,,,
infiltrazione_organi_dettagli_altro,validation,,,,,,0.4907407407407407,0.16666666666666666,,,
infiltrazione_organi_dettagli,test,,,,,,0.1388888888888889,,,,0.03076923076923077
infiltrazione_organi_dettagli_pavimento_pelvico,test,,,,,,0.4841269841269841,0.1111111111111111,,,
infiltrazione_organi_dettagli_altro,test,,,,,,0.4889937106918239,0.16666666666666666,,,
sedi_linfonodi,validation,,,,,,0.4097902675240137,,,,0.5237012987012987
sedi_linfonodi_mesorettali,validation,,,,,,0.5111111111111111,0.8,,,
