field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,3.0,0.732608695652174,0.25842696629213485,0.0,0.0,,,,,
ore_inizio,test,3.1578947368421053,0.8349282296650717,0.2261904761904762,0.0,0.0,,,,,
ore_fine,validation,2.8260869565217392,0.38942687747035576,0.25842696629213485,0.0,0.0,,,,,
ore_fine,test,3.6315789473684212,0.6990430622009569,0.2261904761904762,0.0,0.0,,,,,
spessore_parietale,validation,11.555555555555555,0.8257834757834758,0.12,0.0,0.0,,,,,
spessore_parietale,test,10.75,0.6244075369075369,0.15584415584415584,0.0,0.0,,,,,
estensione_cranio_caudale,validation,13.67741935483871,0.27605459317199377,0.484375,0.0,0.0,,,,,
estensione_cranio_caudale,test,14.241935483870968,0.3290957321275373,0.4881889763779528,0.0,0.0,,,,,
distanza_oai,validation,24.633333333333333,0.6967246040535001,0.47619047619047616,0.0,0.0,,,,,
distanza_oai,test,23.35593220338983,0.6296122885607647,0.47580645161290325,0.0,0.0,,,,,
linfonodi_sospetti,validation,1.3484848484848484,0.5833333333333334,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,1.1846153846153846,0.5103174603174603,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.32671629445822997,0.05128205128205128,0.10647080533490844,,
infiltrazione_sfinteri,test,,,,,,0.32234432234432236,0.05128205128205128,-0.02491020830224699,,
infiltrazione_organi_extra,validation,,,,,,0.479818485789348,0.37735849056603776,0.09975644821582656,,
infiltrazione_organi_extra,test,,,,,,0.4106836559666748,0.3018867924528302,-0.07989039848586858,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.4288461538461539,0.3076923076923077,-0.004544891164112699,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.4475,0.32,0.04660273245009,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.5968045112781954,0.6578947368421053,0.19360902255639098,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.49987589972697943,0.6075949367088608,0.005997673354020429,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.4361579311937197,0.4788732394366197,-0.12262786789699318,,
numero_linfonodi_non_conosciuto,test,,,,,,0.4738095238095238,0.5142857142857142,-0.048759398478436335,,
depositi_tumorali,validation,,,,,,0.3425287356321839,0.13333333333333333,-0.10258008932319569,,
depositi_tumorali,test,,,,,,0.40522875816993464,0.2222222222222222,0.04219254272723569,,
emvi,validation,,,,,,0.49230769230769234,0.38461538461538464,0.14543651725160636,,
emvi,test,,,,,,0.4385162601626016,0.2916666666666667,0.06118826475725344,,
stadio_N1c,validation,,,,,,0.3425287356321839,0.13333333333333333,-0.10258008932319569,,
stadio_N1c,test,,,,,,0.40522875816993464,0.2222222222222222,0.04219254272723569,,
mrf,validation,,,,,,0.5968045112781954,0.6578947368421053,0.19360902255639098,,
mrf,test,,,,,,0.49987589972697943,0.6075949367088608,0.005997673354020429,,
metastasi,validation,,,,,,0.42177722152690866,0.2553191489361702,0.07309106050835933,,
metastasi,test,,,,,,0.3944099378881987,0.21739130434782608,-0.011071203689887552,,
morfologia,validation,,,,,,0.27109440267335,,-0.051320797800223535,,
morfologia,test,,,,,,0.29945064681906786,,-0.046229014193858435,,
riflessione_peritoneale_anteriore,validation,,,,,,0.3200614395084839,,0.01202721546169831,,
riflessione_peritoneale_anteriore,test,,,,,,0.3425582354153782,,0.04411117669580274,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.24617604617604616,,-0.03643409677126027,,
infiltrazione_tessuto_adiposo,test,,,,,,0.3293077655378757,,0.1714234752595716,,
stadio_T,validation,,,,,,0.21689826302729526,,0.050786496311763955,,
stadio_T,test,,,,,,0.21203939640372277,,0.06738041376427079,,
stadio_N,validation,,,,,,0.36696855775803144,,0.20006535260062014,,
stadio_N,test,,,,,,0.2583230651880537,,0.03261222066070036,,
posizione,validation,,,,,,0.3622059284394351,,,,0.26666666666666666
posizione_basso,validation,,,,,,0.5275917801893327,0.4918032786885246,,,
posizione_medio,validation,,,,,,0.3849021435228332,0.4594594594594595,,,
posizione_alto,validation,,,,,,0.408955223880597,0.4,,,
posizione_giunzione,validation,,,,,,0.34548378450817474,0.0975609756097561,,,
posizione,test,,,,,,0.3602830674006651,,,,0.26051282051282054
posizione_basso,test,,,,,,0.42860536944642436,0.39344262295081966,,,
posizione_medio,test,,,,,,0.5500119360229172,0.5915492957746479,,,
posizione_alto,test,,,,,,0.5157414083153088,0.45614035087719296,,,
posizione_giunzione,test,,,,,,0.2857142857142857,0.0,,,
infiltrazione_organi_dettagli,validation,,,,,,0.2736363636363636,,,,0.11616161616161615
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,0.42045454545454547,0.22727272727272727,,,
infiltrazione_organi_dettagli_altro,validation,,,,,,0.45268292682926825,0.32,,,
infiltrazione_organi_dettagli,test,,,,,,0.21335807050092764,,,,0.09230769230769231
infiltrazione_organi_dettagli_pavimento_pelvico,test,,,,,,0.38160676532769555,0.18181818181818182,,,
infiltrazione_organi_dettagli_altro,test,,,,,,0.3940539178634417,0.24489795918367346,,,
sedi_linfonodi,validation,,,,,,0.3738407012312008,,,,0.2670755170755171
