field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,4.0,0.33333333333333337,0.5758415841584158,0.8316831683168316,0.8316831683168316,,,,,
ore_inizio,test,43.5,14.5,0.510551948051948,0.8392857142857143,0.8392857142857143,,,,,
ore_fine,validation,1.5,0.125,0.5758415841584158,0.8316831683168316,0.8316831683168316,,,,,
ore_fine,test,159.5,14.5,0.510551948051948,0.8392857142857143,0.8392857142857143,,,,,
spessore_parietale,validation,0.8571428571428571,0.042857142857142864,0.9621621621621621,0.990990990990991,0.990990990990991,,,,,
spessore_parietale,test,0.0,0.0,0.8477272727272727,0.9454545454545454,0.9454545454545454,,,,,
estensione_cranio_caudale,validation,12.083333333333334,0.19704936414791596,1.0,1.0,1.0,,,,,
estensione_cranio_caudale,test,9.383333333333333,0.15472222222222223,0.7838709677419355,0.6,0.6,,,,,
distanza_oai,validation,25.372549019607842,0.5492832281401664,0.8055555555555556,0.6666666666666666,0.6666666666666666,,,,,
distanza_oai,test,24.45098039215686,0.35315904139433546,0.6473684210526316,0.4,0.4,,,,,
linfonodi_sospetti,validation,2.4761904761904763,0.2796296296296296,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,2.462686567164179,0.19047619047619047,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.7008547008547008,0.4444444444444444,0.435285750066007,,
infiltrazione_sfinteri,test,,,,,,0.7372549019607844,0.5333333333333333,0.5685352436149611,,
infiltrazione_organi_extra,validation,,,,,,0.7486702127659575,0.625,0.499760172661876,,
infiltrazione_organi_extra,test,,,,,,0.8190819081908192,0.7272727272727273,0.6387885015493385,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.9449300699300699,0.9090909090909091,0.8954813188742857,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.9548517520215634,0.9285714285714286,0.9135468796041986,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.5333333333333333,0.7333333333333333,0.19641855032959654,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.620242914979757,0.7789473684210526,0.27084394043721255,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.4615384615384615,0.2564102564102564,0.2711630722733202,,
numero_linfonodi_non_conosciuto,test,,,,,,0.46914765906362543,0.32653061224489793,0.18505639974876945,,
depositi_tumorali,validation,,,,,,0.9571136827773996,0.9230769230769231,0.9176629354822471,,
depositi_tumorali,test,,,,,,0.935823754789272,0.8888888888888888,0.8791367106043311,,
emvi,validation,,,,,,0.9070339399901624,0.8421052631578947,0.8292184909811913,,
emvi,test,,,,,,0.9456168831168831,0.9090909090909091,0.8967126447482838,,
stadio_N1c,validation,,,,,,0.5995762711864407,0.25,0.3592106040535498,,
stadio_N1c,test,,,,,,0.8123249299719888,0.6666666666666666,0.6779951469994743,,
mrf,validation,,,,,,0.5891304347826087,0.4782608695652174,0.41137667560372115,,
mrf,test,,,,,,0.6076576576576577,0.5666666666666667,0.4356230501941617,,
metastasi,validation,,,,,,0.5394736842105263,0.16666666666666666,0.2761273878318673,,
metastasi,test,,,,,,0.4462809917355372,0.0,0.0,,
morfologia,validation,,,,,,0.7643097643097643,,0.6809010530957212,,
morfologia,test,,,,,,0.6567088607594936,,0.6153863466997791,,
riflessione_peritoneale_anteriore,validation,,,,,,0.27777777777777773,,0.15915977255704458,,
riflessione_peritoneale_anteriore,test,,,,,,0.20241769547325103,,0.1558747206796213,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.6032211516082484,,0.4940170445412712,,
infiltrazione_tessuto_adiposo,test,,,,,,0.701149850716806,,0.5825826876575206,,
stadio_T,validation,,,,,,0.6201290322580645,,0.49508251965372846,,
