field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,0.0,0.0,0.6243722798794777,0.8349514563106796,0.8349514563106796,,,,,
ore_inizio,test,1.625,1.3958333333333333,0.7428982380438691,0.8932038834951457,0.8932038834951457,,,,,
ore_fine,validation,0.0,0.0,0.6243722798794777,0.8349514563106796,0.8349514563106796,,,,,
ore_fine,test,1.125,0.09375,0.7428982380438691,0.8932038834951457,0.8932038834951457,,,,,
spessore_parietale,validation,8.142857142857142,0.14285714285714285,0.8462971588262692,0.9557522123893806,0.9557522123893806,,,,,
spessore_parietale,test,0.0,0.0,0.8580166011358672,0.9541284403669725,0.9541284403669725,,,,,
estensione_cranio_caudale,validation,0.27419354838709675,0.0051733915145957205,1.0,1.0,1.0,,,,,
estensione_cranio_caudale,test,1.05,0.035058097312999276,0.6505376344086021,0.3333333333333333,0.3333333333333333,,,,,
distanza_oai,validation,3.207547169811321,0.36185848252344416,0.7426900584795322,0.5555555555555556,0.5555555555555556,,,,,
distanza_oai,test,5.647058823529412,0.2355151515151515,0.7226173541963016,0.5263157894736842,0.5263157894736842,,,,,
linfonodi_sospetti,validation,0.8636363636363636,0.5972222222222222,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,0.8461538461538461,0.4166666666666667,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,1.0,1.0,1.0,,
infiltrazione_sfinteri,test,,,,,,0.7420634920634921,0.5,0.48412698412698413,,
infiltrazione_organi_extra,validation,,,,,,0.933712755272849,0.896551724137931,0.8683175895537171,,
infiltrazione_organi_extra,test,,,,,,0.8341836734693877,0.75,0.6683673469387755,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.8766355140186917,0.8,0.7624425757515653,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.8977987421383649,0.8333333333333334,0.8000946913656628,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.9238051258369891,0.9295774647887324,0.8583950752789522,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.8266666666666667,0.8533333333333334,0.6871300600543744,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.6509615384615384,0.5769230769230769,0.36810096477564,,
numero_linfonodi_non_conosciuto,test,,,,,,0.656084656084656,0.5714285714285714,0.41982990673308124,,
depositi_tumorali,validation,,,,,,1.0,1.0,1.0,,
depositi_tumorali,test,,,,,,0.9623188405797102,0.9333333333333333,0.9273153687411032,,
emvi,validation,,,,,,0.8181818181818181,0.7272727272727273,0.6523705163853443,,
emvi,test,,,,,,0.8179271708683473,0.7142857142857143,0.6650322235213719,,
stadio_N1c,validation,,,,,,1.0,1.0,1.0,,
stadio_N1c,test,,,,,,0.9623188405797102,0.9333333333333333,0.9273153687411032,,
mrf,validation,,,,,,0.9238051258369891,0.9295774647887324,0.8583950752789522,,
mrf,test,,,,,,0.8266666666666667,0.8533333333333334,0.6871300600543744,,
metastasi,validation,,,,,,0.6615384615384616,0.4,0.3350831266333564,,
metastasi,test,,,,,,0.5299145299145299,0.15384615384615385,0.08269663089185622,,
morfologia,validation,,,,,,0.6296296296296295,,0.5606078796789191,,
morfologia,test,,,,,,0.6452991452991453,,0.6262645550425509,,
riflessione_peritoneale_anteriore,validation,,,,,,0.6748829086290385,,0.5527375839837404,,
riflessione_peritoneale_anteriore,test,,,,,,0.4793650793650794,,0.27287148551837687,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.7055555555555554,,0.5554637684584449,,
infiltrazione_tessuto_adiposo,test,,,,,,0.5494652406417112,,0.36491284039729577,,
stadio_T,validation,,,,,,0.8132013787186201,,0.7251272706677084,,
stadio_T,test,,,,,,0.5856639159789948,,0.5406065897398783,,
stadio_N,validation,,,,,,0.6598662207357859,,0.5468736250914238,,
stadio_N,test,,,,,,0.519253663003663,,0.36664797008015837,,
posizione,validation,,,,,,0.8800125313283208,,,,0.8015151515151515
posizione_basso,validation,,,,,,0.8603174603174604,0.8095238095238095,,,
posizione_medio,validation,,,,,,0.8166666666666667,0.8333333333333334,,,
posizione_alto,validation,,,,,,0.8919298245614035,0.8771929824561403,,,
posizione_giunzione,validation,,,,,,1.0,1.0,,,
posizione,test,,,,,,0.8014393939393939,,,,0.8584615384615384
posizione_basso,test,,,,,,0.9025000000000001,0.88,,,
posizione_medio,test,,,,,,0.9066091954022988,0.9166666666666666,,,
posizione_alto,test,,,,,,0.9312896405919662,0.9090909090909091,,,
posizione_giunzione,test,,,,,,0.7420634920634921,0.5,,,
