field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,0.0,0.0,0.5576719576719577,0.819047619047619,0.819047619047619,,,,,
ore_inizio,test,0.0,0.0,0.6038195855343356,0.8598130841121495,0.8598130841121495,,,,,
ore_fine,validation,0.0,0.0,0.5576719576719577,0.819047619047619,0.819047619047619,,,,,
ore_fine,test,0.0,0.0,0.6038195855343356,0.8598130841121495,0.8598130841121495,,,,,
spessore_parietale,validation,8.142857142857142,0.14285714285714285,0.8713450292397661,0.9649122807017544,0.9649122807017544,,,,,
spessore_parietale,test,13.0,1.0,0.8905723905723906,0.9629629629629629,0.9629629629629629,,,,,
estensione_cranio_caudale,validation,0.14754098360655737,0.0029884099049934704,0.9403794037940378,0.8888888888888888,0.8888888888888888,,,,,
estensione_cranio_caudale,test,14.459016393442623,0.48803528697453485,0.688,0.4,0.4,,,,,
distanza_oai,validation,2.784313725490196,0.34668940039784024,0.7053571428571428,0.5,0.5,,,,,
distanza_oai,test,5.3061224489795915,0.2180993609565038,0.6876365224989078,0.47619047619047616,0.47619047619047616,,,,,
linfonodi_sospetti,validation,0.7727272727272727,0.40972222222222215,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,0.7384615384615385,0.369047619047619,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.8294573643410852,0.6666666666666666,0.7016464154456235,,
infiltrazione_sfinteri,test,,,,,,0.8293963254593175,0.6666666666666666,0.701560760020114,,
infiltrazione_organi_extra,validation,,,,,,0.8766355140186917,0.8,0.7791937224739796,,
infiltrazione_organi_extra,test,,,,,,0.726890756302521,0.5714285714285714,0.46450164306348446,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.8835978835978835,0.8148148148148148,0.7681103181319378,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.8977987421383649,0.8333333333333334,0.8000946913656628,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.9536842105263157,0.96,0.9078227444795618,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.8049999999999999,0.85,0.6167456961782172,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.47229114971050457,0.2564102564102564,0.21081851067789195,,
numero_linfonodi_non_conosciuto,test,,,,,,0.4521941296134845,0.21621621621621623,0.2521640072205116,,
depositi_tumorali,validation,,,,,,1.0,1.0,1.0,,
depositi_tumorali,test,,,,,,0.9623188405797102,0.9333333333333333,0.9273153687411032,,
emvi,validation,,,,,,0.9521044992743106,0.9230769230769231,0.9085135251589957,,
emvi,test,,,,,,0.9409090909090909,0.9,0.8882347881956881,,
stadio_N1c,validation,,,,,,1.0,1.0,1.0,,
stadio_N1c,test,,,,,,0.9623188405797102,0.9333333333333333,0.9273153687411032,,
mrf,validation,,,,,,0.9536842105263157,0.96,0.9078227444795618,,
mrf,test,,,,,,0.8049999999999999,0.85,0.6167456961782172,,
metastasi,validation,,,,,,0.6528925619834711,0.36363636363636365,0.4448782605013047,,
metastasi,test,,,,,,0.453781512605042,0.0,-0.07142857142857142,,
morfologia,validation,,,,,,0.5594825594825595,,0.4372936632190456,,
morfologia,test,,,,,,0.6953163731245923,,0.579039013743337,,
riflessione_peritoneale_anteriore,validation,,,,,,0.5953480362082513,,0.5138602299224173,,
riflessione_peritoneale_anteriore,test,,,,,,0.4193741909001926,,0.31626621703427277,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.6503052503052503,,0.5529630570834947,,
infiltrazione_tessuto_adiposo,test,,,,,,0.5231583231583231,,0.3707858211988236,,
stadio_T,validation,,,,,,0.7277499474611445,,0.6561180093551661,,
stadio_T,test,,,,,,0.4857789269553976,,0.48398203710688675,,
stadio_N,validation,,,,,,0.7021276595744681,,0.6240483489751918,,
stadio_N,test,,,,,,0.5861659356725146,,0.44755226890754357,,
posizione,validation,,,,,,0.8613191072493398,,,,0.851010101010101
posizione_basso,validation,,,,,,0.8447870394564934,0.7906976744186046,,,
posizione_medio,validation,,,,,,0.8746438746438747,0.8974358974358975,,,
posizione_alto,validation,,,,,,0.9083333333333333,0.9,,,
posizione_giunzione,validation,,,,,,0.9245714285714286,0.8571428571428571,,,
posizione,test,,,,,,0.778296740805274,,,,0.8482051282051282
posizione_basso,test,,,,,,0.9181153943058704,0.8979591836734694,,,
posizione_medio,test,,,,,,0.9218937755347272,0.9315068493150684,,,
posizione_alto,test,,,,,,0.913124832932371,0.8837209302325582,,,
posizione_giunzione,test,,,,,,0.688,0.4,,,
infiltrazione_organi_dettagli,validation,,,,,,0.8181818181818181,,,,0.15151515151515152
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,0.9504132231404958,0.9090909090909091,,,
infiltrazione_organi_dettagli_altro,validation,,,,,,0.8363636363636364,0.7272727272727273,,,
infiltrazione_organi_dettagli,test,,,,,,0.5833333333333333,,,,0.11282051282051282
infiltrazione_organi_dettagli_pavimento_pelvico,test,,,,,,0.8163841807909604,0.6666666666666666,,,
infiltrazione_organi_dettagli_altro,test,,,,,,0.6933962264150944,0.5,,,
sedi_linfonodi,validation,,,,,,0.7512249476034523,,,,0.7350649350649351
sedi_linfonodi_mesorettali,validation,,,,,,0.6792523364485981,0.8785046728971962,,,
