field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,,,0.3944954128440367,0.7889908256880734,0.7889908256880734,,,,,
ore_inizio,test,,,0.4144144144144144,0.8288288288288288,0.8288288288288288,,,,,
ore_fine,validation,,,0.3944954128440367,0.7889908256880734,0.7889908256880734,,,,,
ore_fine,test,,,0.4144144144144144,0.8288288288288288,0.8288288288288288,,,,,
spessore_parietale,validation,8.25,0.19166666666666668,0.8821428571428571,0.9642857142857143,0.9642857142857143,,,,,
spessore_parietale,test,0.0,0.0,0.8905723905723906,0.9629629629629629,0.9629629629629629,,,,,
estensione_cranio_caudale,validation,12.41025641025641,0.23207957899245316,0.5151708719259023,0.25806451612903225,0.25806451612903225,,,,,
estensione_cranio_caudale,test,18.38095238095238,0.36758163541940886,0.48000000000000004,0.16,0.16,,,,,
distanza_oai,validation,7.333333333333333,0.1,0.42045454545454547,0.22727272727272727,0.22727272727272727,,,,,
distanza_oai,test,20.7,0.31500000000000006,0.35,0.2,0.2,,,,,
linfonodi_sospetti,validation,2.742424242424242,0.4166666666666667,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,2.8153846153846156,0.19047619047619047,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.6228571428571428,0.2857142857142857,0.3922322702763681,,
infiltrazione_sfinteri,test,,,,,,0.5821854912764004,0.2222222222222222,0.2254871963578487,,
infiltrazione_organi_extra,validation,,,,,,0.7777777777777777,0.6666666666666666,0.560889427508727,,
infiltrazione_organi_extra,test,,,,,,0.7927295918367347,0.6875,0.5854591836734694,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.8157159952134025,0.6956521739130435,0.6578118320618875,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.784257942152679,0.631578947368421,0.6377928041432807,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.6781982818667285,0.7123287671232876,0.35925400765360455,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.606060606060606,0.6666666666666666,0.23663412730979175,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.3333333333333333,0.0,0.0,,
numero_linfonodi_non_conosciuto,test,,,,,,0.3627450980392157,0.058823529411764705,0.12309149097933272,,
depositi_tumorali,validation,,,,,,0.9623931623931624,0.9333333333333333,0.9274532287535711,,
depositi_tumorali,test,,,,,,0.9287280701754386,0.875,0.8574561403508771,,
emvi,validation,,,,,,0.8981481481481481,0.8333333333333334,0.8144110179279557,,
emvi,test,,,,,,0.9075391180654339,0.8421052631578947,0.8300573566392896,,
stadio_N1c,validation,,,,,,0.47229114971050457,0.2564102564102564,0.1581307722092656,,
stadio_N1c,test,,,,,,0.5774231678486997,0.3888888888888889,0.3360854265514291,,
mrf,validation,,,,,,0.6192307692307693,0.5384615384615384,0.44539933408304444,,
mrf,test,,,,,,0.46760982874162327,0.35294117647058826,0.2966651379613598,,
metastasi,validation,,,,,,0.521044992743106,0.23076923076923078,0.06883848923606095,,
metastasi,test,,,,,,0.400819392284056,0.06896551724137931,-0.17075023788849336,,
morfologia,validation,,,,,,0.42043290043290044,,0.30432521067882257,,
morfologia,test,,,,,,0.4512794003618506,,0.39047229309436055,,
riflessione_peritoneale_anteriore,validation,,,,,,0.23152709359605908,,0.13038788309818897,,
riflessione_peritoneale_anteriore,test,,,,,,0.15079365079365079,,0.0,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.2680489101541733,,0.08180035588594947,,
infiltrazione_tessuto_adiposo,test,,,,,,0.21894479789216628,,0.116853191896804,,
stadio_T,validation,,,,,,0.3492130857648099,,0.3934665087255361,,
stadio_T,test,,,,,,0.3209127565982405,,0.37824379226728616,,
stadio_N,validation,,,,,,0.5431987367471238,,0.5126879683042002,,
stadio_N,test,,,,,,0.43026043369292793,,0.41094595488958424,,
posizione,validation,,,,,,0.46771929824561403,,,,0.6525252525252525
posizione_basso,validation,,,,,,0.7782754759238522,0.6842105263157895,,,
posizione_medio,validation,,,,,,0.8301754385964912,0.8533333333333334,,,
posizione_alto,validation,,,,,,0.5111111111111111,0.3333333333333333,,,
posizione_giunzione,validation,,,,,,0.48031496062992124,0.0,,,
posizione,test,,,,,,0.45734126984126977,,,,0.6179487179487179
posizione_basso,test,,,,,,0.8018292682926829,0.75,,,
posizione_medio,test,,,,,,0.7998104714522625,0.7936507936507936,,,
posizione_alto,test,,,,,,0.5112781954887218,0.2857142857142857,,,
posizione_giunzione,test,,,,,,0.4881889763779528,0.0,,,
infiltrazione_organi_dettagli,validation,,,,,,0.6296296296296295,,,,0.12121212121212122
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,0.8211382113821137,0.6666666666666666,,,
infiltrazione_organi_dettagli_altro,validation,,,,,,0.7439153439153439,0.5925925925925926,,,
infiltrazione_organi_dettagli,test,,,,,,0.4857142857142857,,,,0.12307692307692308
infiltrazione_organi_dettagli_pavimento_pelvico,test,,,,,,0.675,0.4,,,
infiltrazione_organi_dettagli_altro,test,,,,,,0.726890756302521,0.5714285714285714,,,
sedi_linfonodi,validation,,,,,,0.5679760914313274,,,,0.5917748917748917
sedi_linfonodi_mesorettali,validation,,,,,,0.7083946980854197,0.845360824742268,,,
sedi_linfonodi_rettali_superiori,validation,,,,,,0.5195968645016797,0.3157894736842105,,,
sedi_linfonodi_otturatori,validation,,,,,,0.8472222222222222,0.7777777777777778,,,
sedi_linfonodi_iliaci,validation,,,,,,0.6136585365853658,0.52,,,
sedi_linfonodi_altro,validation,,,,,,0.6319176319176318,0.38095238095238093,,,
sedi_linfonodi,test,,,,,,0.49870266905962646,,,,0.4736141636141636
sedi_linfonodi_mesorettali,test,,,,,,0.615839243498818,0.7872340425531915,,,
sedi_linfonodi_rettali_superiori,test,,,,,,0.5503759398496241,0.34285714285714286,,,
sedi_linfonodi_otturatori,test,,,,,,0.7670250896057347,0.6451612903225806,,,
sedi_linfonodi_iliaci,test,,,,,,0.5962732919254659,0.4782608695652174,,,
sedi_linfonodi_altro,test,,,,,,0.5295238095238095,0.24,,,
