field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,0.3,0.05,0.7373737373737375,0.8686868686868687,0.8686868686868687,,,,,
ore_inizio,test,0.2,0.016666666666666666,0.7833333333333333,0.9,0.9,,,,,
ore_fine,validation,0.9,0.075,0.7373737373737375,0.8686868686868687,0.8686868686868687,,,,,
ore_fine,test,0.9,0.075,0.7833333333333333,0.9,0.9,,,,,
spessore_parietale,validation,8.142857142857142,0.14285714285714285,0.8713450292397661,0.9649122807017544,0.9649122807017544,,,,,
spessore_parietale,test,0.0,0.0,0.9452861952861953,0.9814814814814815,0.9814814814814815,,,,,
estensione_cranio_caudale,validation,0.14754098360655737,0.0029884099049934704,0.9403794037940378,0.8888888888888888,0.8888888888888888,,,,,
estensione_cranio_caudale,test,1.5,0.050056223206128334,0.7420634920634921,0.5,0.5,,,,,
distanza_oai,validation,2.784313725490196,0.36083998816918067,0.6618537494177923,0.42105263157894735,0.42105263157894735,,,,,
distanza_oai,test,1.7307692307692308,0.18,0.7420634920634921,0.5555555555555556,0.5555555555555556,,,,,
linfonodi_sospetti,validation,0.6363636363636364,0.5,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,0.49230769230769234,0.2976190476190476,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.8294573643410852,0.6666666666666666,0.7016464154456235,,
infiltrazione_sfinteri,test,,,,,,0.8293963254593175,0.6666666666666666,0.701560760020114,,
infiltrazione_organi_extra,validation,,,,,,1.0,1.0,1.0,,
infiltrazione_organi_extra,test,,,,,,0.960171568627451,0.9411764705882353,0.9233675918888247,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.9301587301587302,0.8888888888888888,0.8613001729052979,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.9488993710691824,0.9166666666666666,0.9026709338484401,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.8730769230769231,0.9,0.7531708838213974,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.9312896405919662,0.9534883720930233,0.8647638128466053,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.7847157502329916,0.8108108108108109,0.5934602951767031,,
numero_linfonodi_non_conosciuto,test,,,,,,0.8306088604596067,0.835820895522388,0.661611671620952,,
depositi_tumorali,validation,,,,,,0.9623931623931624,0.9333333333333333,0.9274532287535711,,
depositi_tumorali,test,,,,,,0.9623188405797102,0.9333333333333333,0.9273153687411032,,
emvi,validation,,,,,,0.9301587301587302,0.8888888888888888,0.8613001729052979,,
emvi,test,,,,,,0.9716033202271734,0.9523809523809523,0.9447549859466603,,
stadio_N1c,validation,,,,,,0.9623931623931624,0.9333333333333333,0.9274532287535711,,
stadio_N1c,test,,,,,,0.9623188405797102,0.9333333333333333,0.9273153687411032,,
mrf,validation,,,,,,0.8730769230769231,0.9,0.7531708838213974,,
mrf,test,,,,,,0.9150326797385621,0.9411764705882353,0.8305893745347539,,
metastasi,validation,,,,,,0.6803874092009685,0.42857142857142855,0.38679676091413556,,
metastasi,test,,,,,,0.5723684210526316,0.25,0.1481141387840771,,
morfologia,validation,,,,,,0.8814814814814814,,0.785050199839792,,
morfologia,test,,,,,,0.7528429282160625,,0.6979142071497763,,
riflessione_peritoneale_anteriore,validation,,,,,,0.654131424853611,,0.43981707846856205,,
riflessione_peritoneale_anteriore,test,,,,,,0.5250188964474679,,0.2921461538541689,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.7706542779713511,,0.6864251059269184,,
infiltrazione_tessuto_adiposo,test,,,,,,0.7958337414699447,,0.7258419864600836,,
stadio_T,validation,,,,,,0.8348872180451128,,0.7850523519722393,,
stadio_T,test,,,,,,0.920455684666211,,0.8580227355149614,,
stadio_N,validation,,,,,,0.6380613535736874,,0.5624931948596164,,
stadio_N,test,,,,,,0.6082352941176471,,0.4718196999857512,,
posizione,validation,,,,,,0.8213114754098361,,,,0.8564213564213563
posizione_basso,validation,,,,,,0.8819923371647509,0.8444444444444444,,,
posizione_medio,validation,,,,,,0.8562091503267973,0.8888888888888888,,,
posizione_alto,validation,,,,,,0.8933271761717848,0.8852459016393442,,,
posizione_giunzione,validation,,,,,,0.8253968253968254,0.6666666666666666,,,
posizione,test,,,,,,0.925906432748538,,,,0.8692307692307693
posizione_basso,test,,,,,,0.935,0.92,,,
posizione_medio,test,,,,,,0.8732943469785575,0.8947368421052632,,,
posizione_alto,test,,,,,,0.9150326797385621,0.8888888888888888,,,
posizione_giunzione,test,,,,,,1.0,1.0,,,
infiltrazione_organi_dettagli,validation,,,,,,0.9615384615384616,,,,0.21717171717171715
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,1.0,1.0,,,
infiltrazione_organi_dettagli_altro,validation,,,,,,0.9521044992743106,0.9230769230769231,,,
infiltrazione_organi_dettagli,test,,,,,,0.8775,,,,0.22564102564102564
infiltrazione_organi_dettagli_pavimento_pelvico,test,,,,,,0.9287280701754386,0.875,,,
infiltrazione_organi_dettagli_altro,test,,,,,,0.9257142857142857,0.88,,,
sedi_linfonodi,validation,,,,,,0.7411166611166611,,,,0.7033910533910533
sedi_linfonodi_mesorettali,validation,,,,,,0.8181818181818181,0.9090909090909091,,,
sedi_linfonodi_rettali_superiori,validation,,,,,,0.8329882677708764,0.8253968253968254,,,
sedi_linfonodi_otturatori,validation,,,,,,0.8274509803921568,0.7333333333333333,,,
sedi_linfonodi_iliaci,validation,,,,,,0.8084179970972424,0.6923076923076923,,,
sedi_linfonodi_altro,validation,,,,,,0.7520661157024793,0.5454545454545454,,,
sedi_linfonodi,test,,,,,,0.6455080838701528,,,,0.6393162393162394
sedi_linfonodi_mesorettali,test,,,,,,0.7212009803921569,0.8541666666666666,,,
sedi_linfonodi_rettali_superiori,test,,,,,,0.8443486590038314,0.8275862068965517,,,
sedi_linfonodi_otturatori,test,,,,,,0.8012232415902141,0.6666666666666666,,,
sedi_linfonodi_iliaci,test,,,,,,0.744429882044561,0.5714285714285714,,,
sedi_linfonodi_altro,test,,,,,,0.6153846153846154,0.3076923076923077,,,
