field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,0.0,0.0,0.6549019607843137,0.8431372549019608,0.8431372549019608,,,,,
ore_inizio,test,0.25,0.020833333333333332,0.7428982380438691,0.8932038834951457,0.8932038834951457,,,,,
ore_fine,validation,0.0,0.0,0.6549019607843137,0.8431372549019608,0.8431372549019608,,,,,
ore_fine,test,1.125,0.09375,0.7428982380438691,0.8932038834951457,0.8932038834951457,,,,,
spessore_parietale,validation,8.142857142857142,0.14285714285714285,0.8232142857142857,0.9464285714285714,0.9464285714285714,,,,,
spessore_parietale,test,0.0,0.0,0.9488993710691824,0.9811320754716981,0.9811320754716981,,,,,
estensione_cranio_caudale,validation,0.14754098360655737,0.0029884099049934704,0.8669354838709677,0.75,0.75,,,,,
estensione_cranio_caudale,test,1.5,0.050056223206128334,0.7420634920634921,0.5,0.5,,,,,
distanza_oai,validation,2.784313725490196,0.3761948812827628,0.6618537494177923,0.42105263157894735,0.42105263157894735,,,,,
distanza_oai,test,2.549019607843137,0.22448979591836735,0.7226173541963016,0.5263157894736842,0.5263157894736842,,,,,
linfonodi_sospetti,validation,0.696969696969697,0.5,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,0.8153846153846154,0.39285714285714285,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.8294573643410852,0.6666666666666666,0.7016464154456235,,
infiltrazione_sfinteri,test,,,,,,0.7420634920634921,0.5,0.48412698412698413,,
infiltrazione_organi_extra,validation,,,,,,0.9779042517576164,0.9655172413793104,0.9567573440452994,,
infiltrazione_organi_extra,test,,,,,,0.960171568627451,0.9411764705882353,0.9233675918888247,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.9521044992743106,0.9230769230769231,0.9085135251589957,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.9519230769230769,0.9230769230769231,0.9038461538461539,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.9373219373219372,0.9487179487179487,0.8764828796320141,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.9150326797385621,0.9411764705882353,0.8305893745347539,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.7684210526315789,0.8,0.5669467095138409,,
numero_linfonodi_non_conosciuto,test,,,,,,0.7845643939393939,0.78125,0.5706163700799615,,
depositi_tumorali,validation,,,,,,1.0,1.0,1.0,,
depositi_tumorali,test,,,,,,0.9623188405797102,0.9333333333333333,0.9273153687411032,,
emvi,validation,,,,,,0.9546703296703296,0.9285714285714286,0.9093406593406593,,
emvi,test,,,,,,0.9207639171068671,0.8695652173913043,0.8427678882126249,,
stadio_N1c,validation,,,,,,1.0,1.0,1.0,,
stadio_N1c,test,,,,,,0.9623188405797102,0.9333333333333333,0.9273153687411032,,
mrf,validation,,,,,,0.9373219373219372,0.9487179487179487,0.8764828796320141,,
mrf,test,,,,,,0.9150326797385621,0.9411764705882353,0.8305893745347539,,
metastasi,validation,,,,,,0.7602905569007263,0.5714285714285714,0.553650265622194,,
metastasi,test,,,,,,0.5997536945812808,0.2857142857142857,0.21859641244629685,,
morfologia,validation,,,,,,0.8518808777429467,,0.8100356711136069,,
morfologia,test,,,,,,0.7676005747126436,,0.779678049706055,,
riflessione_peritoneale_anteriore,validation,,,,,,0.7022727272727273,,0.5614612756414674,,
riflessione_peritoneale_anteriore,test,,,,,,0.7038267503383783,,0.5672014620696731,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.7823450665406724,,0.7120541480522126,,
infiltrazione_tessuto_adiposo,test,,,,,,0.807142857142857,,0.75171963371444,,
stadio_T,validation,,,,,,0.8501471888490144,,0.8044201261467799,,
stadio_T,test,,,,,,0.8512925620529638,,0.7766292577153051,,
stadio_N,validation,,,,,,0.5801041455332386,,0.5003271477478837,,
stadio_N,test,,,,,,0.5646808807134894,,0.42852143467601067,,
posizione,validation,,,,,,0.8322807253792979,,,,0.8634920634920634
posizione_basso,validation,,,,,,0.8843554443053817,0.851063829787234,,,
posizione_medio,validation,,,,,,0.889658466682589,0.9113924050632911,,,
posizione_alto,validation,,,,,,0.9083333333333333,0.9,,,
posizione_giunzione,validation,,,,,,0.8253968253968254,0.6666666666666666,,,
posizione,test,,,,,,0.9179858832549697,,,,0.858974358974359
posizione_basso,test,,,,,,0.9193348225366096,0.9019607843137255,,,
posizione_medio,test,,,,,,0.9058880308880309,0.918918918918919,,,
posizione_alto,test,,,,,,0.8833632401948218,0.851063829787234,,,
posizione_giunzione,test,,,,,,1.0,1.0,,,
infiltrazione_organi_dettagli,validation,,,,,,0.9583333333333333,,,,0.20707070707070707
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,1.0,1.0,,,
infiltrazione_organi_dettagli_altro,validation,,,,,,0.9490740740740741,0.9166666666666666,,,
infiltrazione_organi_dettagli,test,,,,,,0.8775,,,,0.22564102564102564
infiltrazione_organi_dettagli_pavimento_pelvico,test,,,,,,0.9287280701754386,0.875,,,
infiltrazione_organi_dettagli_altro,test,,,,,,0.9257142857142857,0.88,,,
sedi_linfonodi,validation,,,,,,0.7554328867421847,,,,0.7286435786435786
sedi_linfonodi_mesorettali,validation,,,,,,0.7843137254901961,0.9019607843137255,,,
sedi_linfonodi_rettali_superiori,validation,,,,,,0.893719806763285,0.8888888888888888,,,
sedi_linfonodi_otturatori,validation,,,,,,0.8524433088470138,0.7741935483870968,,,
sedi_linfonodi_iliaci,validation,,,,,,0.7904761904761904,0.6666666666666666,,,
sedi_linfonodi_altro,validation,,,,,,0.7520661157024793,0.5454545454545454,,,
sedi_linfonodi,test,,,,,,0.6609920634920635,,,,0.6415384615384615
sedi_linfonodi_mesorettali,test,,,,,,0.7212009803921569,0.8541666666666666,,,
sedi_linfonodi_rettali_superiori,test,,,,,,0.8266666666666667,0.8,,,
sedi_linfonodi_otturatori,test,,,,,,0.8580166011358672,0.7619047619047619,,,
sedi_linfonodi_iliaci,test,,,,,,0.7420634920634921,0.5555555555555556,,,
sedi_linfonodi_altro,test,,,,,,0.6327683615819208,0.3333333333333333,,,
