field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,0.0,0.0,0.7623049219687875,0.8775510204081632,0.8775510204081632,,,,,
ore_inizio,test,0.2222222222222222,0.018518518518518517,0.7724089635854342,0.9019607843137255,0.9019607843137255,,,,,
ore_fine,validation,0.0,0.0,0.7623049219687875,0.8775510204081632,0.8775510204081632,,,,,
ore_fine,test,1.0,0.08333333333333333,0.7724089635854342,0.9019607843137255,0.9019607843137255,,,,,
spessore_parietale,validation,8.142857142857142,0.14285714285714285,0.8462971588262692,0.9557522123893806,0.9557522123893806,,,,,
spessore_parietale,test,0.0,0.0,0.9735879723689558,0.9906542056074766,0.9906542056074766,,,,,
estensione_cranio_caudale,validation,0.14754098360655737,0.0029884099049934704,0.9403794037940378,0.8888888888888888,0.8888888888888888,,,,,
estensione_cranio_caudale,test,1.5,0.050056223206128334,0.7420634920634921,0.5,0.5,,,,,
distanza_oai,validation,2.8979591836734695,0.36835748792270523,0.6319176319176318,0.38095238095238093,0.38095238095238093,,,,,
distanza_oai,test,1.7307692307692308,0.18,0.6954711087975013,0.47058823529411764,0.47058823529411764,,,,,
linfonodi_sospetti,validation,0.5454545454545454,0.4270833333333333,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,0.46153846153846156,0.3325396825396825,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.8294573643410852,0.6666666666666666,0.7016464154456235,,
infiltrazione_sfinteri,test,,,,,,0.7420634920634921,0.5,0.48412698412698413,,
infiltrazione_organi_extra,validation,,,,,,0.9779042517576164,0.9655172413793104,0.9567573440452994,,
infiltrazione_organi_extra,test,,,,,,0.960171568627451,0.9411764705882353,0.9233675918888247,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.9521044992743106,0.9230769230769231,0.9085135251589957,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.9752380952380952,0.96,0.951661902861773,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.905982905982906,0.9230769230769231,0.8137411550596574,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.9327122153209109,0.9523809523809523,0.865424430641822,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.7684210526315789,0.8,0.5669467095138409,,
numero_linfonodi_non_conosciuto,test,,,,,,0.8153409090909092,0.8181818181818182,0.6306818181818182,,
