field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,0.0,0.0,0.4818691588785047,0.8037383177570093,0.8037383177570093,,,,,
ore_inizio,test,0.0,0.0,0.46818181818181814,0.8363636363636363,0.8363636363636363,,,,,
ore_fine,validation,0.0,0.0,0.4818691588785047,0.8037383177570093,0.8037383177570093,,,,,
ore_fine,test,0.0,0.0,0.46818181818181814,0.8363636363636363,0.8363636363636363,,,,,
spessore_parietale,validation,8.142857142857142,0.14285714285714285,0.8987212276214833,0.9739130434782609,0.9739130434782609,,,,,
spessore_parietale,test,2.8181818181818183,0.4025974025974026,0.9735879723689558,0.9906542056074766,0.9906542056074766,,,,,
estensione_cranio_caudale,validation,0.2033898305084746,0.004245335972651185,0.8512396694214877,0.7272727272727273,0.7272727272727273,,,,,
estensione_cranio_caudale,test,1.3166666666666667,0.04039143064633261,0.6505376344086021,0.3333333333333333,0.3333333333333333,,,,,
distanza_oai,validation,1.4222222222222223,0.2048748353096179,0.6168359941944848,0.38461538461538464,0.38461538461538464,,,,,
distanza_oai,test,2.9761904761904763,0.029365079365079365,0.5903361344537815,0.35714285714285715,0.35714285714285715,,,,,
linfonodi_sospetti,validation,1.3636363636363635,0.2986111111111111,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,1.6,0.39682539682539686,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.7421875,0.5,0.5683985600588052,,
infiltrazione_sfinteri,test,,,,,,0.7420634920634921,0.5,0.48412698412698413,,
infiltrazione_organi_extra,validation,,,,,,0.864010989010989,0.7857142857142857,0.7313987142648037,,
infiltrazione_organi_extra,test,,,,,,0.74,0.6,0.48250305191430043,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.8453297623033144,0.7586206896551724,0.6914380805705526,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.9488993710691824,0.9166666666666666,0.9026709338484401,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.7852315394242804,0.8470588235294118,0.6052788073623891,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.74,0.8,0.48616435985383893,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.479818485789348,0.37735849056603776,0.0,,
numero_linfonodi_non_conosciuto,test,,,,,,0.5966741126830479,0.5098039215686274,0.26555628280390714,,
depositi_tumorali,validation,,,,,,0.9623931623931624,0.9333333333333333,0.9274532287535711,,
depositi_tumorali,test,,,,,,0.9287280701754386,0.875,0.8574561403508771,,
emvi,validation,,,,,,0.9301587301587302,0.8888888888888888,0.8613001729052979,,
emvi,test,,,,,,0.9409090909090909,0.9,0.8882347881956881,,
stadio_N1c,validation,,,,,,0.9623931623931624,0.9333333333333333,0.9274532287535711,,
stadio_N1c,test,,,,,,0.9287280701754386,0.875,0.8574561403508771,,
mrf,validation,,,,,,0.7890336857634621,0.8433734939759037,0.5983627261309936,,
mrf,test,,,,,,0.6862934362934363,0.7297297297297297,0.40693149089675484,,
metastasi,validation,,,,,,0.4634146341463415,0.0,0.0,,
metastasi,test,,,,,,0.4628099173553719,0.0,0.0,,
morfologia,validation,,,,,,0.6915890136229118,,0.5458898947358548,,
morfologia,test,,,,,,0.6761904761904761,,0.6415020260613395,,
riflessione_peritoneale_anteriore,validation,,,,,,0.3636425167857917,,0.234599948388017,,
riflessione_peritoneale_anteriore,test,,,,,,0.24786324786324787,,0.07579934760645278,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.5306075306075306,,0.34064577436651644,,
infiltrazione_tessuto_adiposo,test,,,,,,0.5223910840932118,,0.3793380863417253,,
stadio_T,validation,,,,,,0.7269132044051545,,0.5605897454478497,,
stadio_T,test,,,,,,0.7459523809523809,,0.5963505425168594,,
stadio_N,validation,,,,,,0.5499835309617919,,0.5523806802704849,,
stadio_N,test,,,,,,0.44794871794871793,,0.38633332914785584,,
posizione,validation,,,,,,0.753996003996004,,,,0.7964646464646464
posizione_basso,validation,,,,,,0.8636363636363636,0.8181818181818182,,,
posizione_medio,validation,,,,,,0.8597402597402597,0.8831168831168831,,,
posizione_alto,validation,,,,,,0.8096153846153846,0.7692307692307693,,,
posizione_giunzione,validation,,,,,,0.7520661157024793,0.5454545454545454,,,
posizione,test,,,,,,0.7410663983903422,,,,0.8353846153846154
posizione_basso,test,,,,,,0.935,0.92,,,
posizione_medio,test,,,,,,0.8913821914538076,0.9014084507042254,,,
posizione_alto,test,,,,,,0.8593073593073592,0.8095238095238095,,,
posizione_giunzione,test,,,,,,0.6505376344086021,0.3333333333333333,,,
infiltrazione_organi_dettagli,validation,,,,,,0.7320574162679425,,,,0.15151515151515152
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,0.8512396694214877,0.7272727272727273,,,
infiltrazione_organi_dettagli_altro,validation,,,,,,0.8462971588262692,0.7368421052631579,,,
infiltrazione_organi_dettagli,test,,,,,,0.6017316017316017,,,,0.12307692307692308
infiltrazione_organi_dettagli_pavimento_pelvico,test,,,,,,0.8510313216195569,0.7272727272727273,,,
infiltrazione_organi_dettagli_altro,test,,,,,,0.6876365224989078,0.47619047619047616,,,
sedi_linfonodi,validation,,,,,,0.6449406318761157,,,,0.6833333333333332
sedi_linfonodi_mesorettali,validation,,,,,,0.6319176319176318,0.8828828828828829,,,
sedi_linfonodi_rettali_superiori,validation,,,,,,0.6592082616179001,0.5714285714285714,,,
sedi_linfonodi_otturatori,validation,,,,,,0.8102842542318749,0.7096774193548387,,,
sedi_linfonodi_iliaci,validation,,,,,,0.7861561119293078,0.6857142857142857,,,
sedi_linfonodi_altro,validation,,,,,,0.6443965517241379,0.375,,,
sedi_linfonodi,test,,,,,,0.6064027052660725,,,,0.5887179487179487
sedi_linfonodi_mesorettali,test,,,,,,0.5559151384394103,0.8155339805825242,,,
sedi_linfonodi_rettali_superiori,test,,,,,,0.6615511098931215,0.5365853658536586,,,
sedi_linfonodi_otturatori,test,,,,,,0.7724089635854342,0.6428571428571429,,,
sedi_linfonodi_iliaci,test,,,,,,0.7766323024054982,0.6666666666666666,,,
sedi_linfonodi_altro,test,,,,,,0.602660913340525,0.37037037037037035,,,
