field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,2.1818181818181817,0.18434343434343434,0.7326388888888888,0.8541666666666666,0.8541666666666666,,,,,
ore_inizio,test,0.25,0.020833333333333332,0.7428982380438691,0.8932038834951457,0.8932038834951457,,,,,
ore_fine,validation,1.9090909090909092,0.36363636363636365,0.7326388888888888,0.8541666666666666,0.8541666666666666,,,,,
ore_fine,test,1.125,0.09375,0.7428982380438691,0.8932038834951457,0.8932038834951457,,,,,
spessore_parietale,validation,8.142857142857142,0.14285714285714285,0.8987212276214833,0.9739130434782609,0.9739130434782609,,,,,
spessore_parietale,test,0.0,0.0,0.9452861952861953,0.9814814814814815,0.9814814814814815,,,,,
estensione_cranio_caudale,validation,0.3064516129032258,0.00463800261450546,1.0,1.0,1.0,,,,,
estensione_cranio_caudale,test,0.04918032786885246,0.0016964891603271546,0.688,0.4,0.4,,,,,
distanza_oai,validation,2.8979591836734695,0.36083998816918067,0.6727272727272727,0.45454545454545453,0.45454545454545453,,,,,
distanza_oai,test,1.9565217391304348,0.1956521739130435,0.6038195855343356,0.34782608695652173,0.34782608695652173,,,,,
linfonodi_sospetti,validation,1.378787878787879,0.3680555555555555,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,1.4923076923076923,0.25396825396825395,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.8294573643410852,0.6666666666666666,0.7016464154456235,,
infiltrazione_sfinteri,test,,,,,,0.7420634920634921,0.5,0.48412698412698413,,
infiltrazione_organi_extra,validation,,,,,,0.9301587301587302,0.8888888888888888,0.8692269873603532,,
infiltrazione_organi_extra,test,,,,,,0.9796938456732271,0.9696969696969697,0.9601920576192067,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.9521044992743106,0.9230769230769231,0.9085135251589957,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.9257142857142857,0.88,0.8525304546470049,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.8180147058823529,0.8125,0.6920602346769048,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.7230113636363636,0.7272727272727273,0.5661779678592224,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.696969696969697,0.696969696969697,0.3939393939393939,,
