field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,2.3,0.19166666666666665,0.6944444444444444,0.8333333333333334,0.8333333333333334,,,,,
ore_inizio,test,0.25,0.020833333333333332,0.7115056333219529,0.8712871287128713,0.8712871287128713,,,,,
ore_fine,validation,1.2,0.1,0.6944444444444444,0.8333333333333334,0.8333333333333334,,,,,
ore_fine,test,1.125,0.09375,0.7115056333219529,0.8712871287128713,0.8712871287128713,,,,,
spessore_parietale,validation,8.142857142857142,0.14285714285714285,0.8987212276214833,0.9739130434782609,0.9739130434782609,,,,,
spessore_parietale,test,0.0,0.0,0.9207639171068671,0.9719626168224299,0.9719626168224299,,,,,
estensione_cranio_caudale,validation,0.3064516129032258,0.00463800261450546,1.0,1.0,1.0,,,,,
estensione_cranio_caudale,test,0.04918032786885246,0.0016964891603271546,0.688,0.4,0.4,,,,,
distanza_oai,validation,2.84,0.36083998816918067,0.6885456885456885,0.47619047619047616,0.47619047619047616,,,,,
distanza_oai,test,2.6530612244897958,0.22448979591836735,0.6876365224989078,0.47619047619047616,0.47619047619047616,,,,,
linfonodi_sospetti,validation,1.6515151515151516,0.3194444444444444,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,1.7846153846153847,0.25396825396825395,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.7421875,0.5,0.5683985600588052,,
infiltrazione_sfinteri,test,,,,,,0.7420634920634921,0.5,0.48412698412698413,,
infiltrazione_organi_extra,validation,,,,,,0.9301587301587302,0.8888888888888888,0.8692269873603532,,
infiltrazione_organi_extra,test,,,,,,0.9796938456732271,0.9696969696969697,0.9601920576192067,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.9521044992743106,0.9230769230769231,0.9085135251589957,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.8977987421383649,0.8333333333333334,0.8000946913656628,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.8484848484848485,0.8484848484848485,0.7368421052631579,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.738213693437574,0.746268656716418,0.5850315416812197,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.6363636363636364,0.6363636363636364,0.2727272727272727,,
numero_linfonodi_non_conosciuto,test,,,,,,0.799239724400095,0.7868852459016393,0.608058381025206,,
depositi_tumorali,validation,,,,,,1.0,1.0,1.0,,
depositi_tumorali,test,,,,,,0.9623188405797102,0.9333333333333333,0.9273153687411032,,
emvi,validation,,,,,,0.9521044992743106,0.9230769230769231,0.9085135251589957,,
emvi,test,,,,,,0.9716033202271734,0.9523809523809523,0.9447549859466603,,
stadio_N1c,validation,,,,,,1.0,1.0,1.0,,
stadio_N1c,test,,,,,,0.9623188405797102,0.9333333333333333,0.9273153687411032,,
mrf,validation,,,,,,0.8484848484848485,0.8484848484848485,0.7368421052631579,,
mrf,test,,,,,,0.738213693437574,0.746268656716418,0.5850315416812197,,
metastasi,validation,,,,,,0.4634146341463415,0.0,0.0,,
metastasi,test,,,,,,0.4628099173553719,0.0,0.0,,
morfologia,validation,,,,,,0.7558791959406713,,0.699774758107455,,
morfologia,test,,,,,,0.7795414462081128,,0.7043725456740147,,
riflessione_peritoneale_anteriore,validation,,,,,,0.546117546117546,,0.42685743967100276,,
riflessione_peritoneale_anteriore,test,,,,,,0.33413185775018556,,0.15074843458561044,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.5083836612767062,,0.310786064619474,,
infiltrazione_tessuto_adiposo,test,,,,,,0.4420765027322404,,0.18049789054085,,
stadio_T,validation,,,,,,0.7529241999830234,,0.6493068611984881,,
stadio_T,test,,,,,,0.8296488762514844,,0.7251658325231457,,
stadio_N,validation,,,,,,0.7495692002854781,,0.7079649714551358,,
stadio_N,test,,,,,,0.5417627031192187,,0.4584721104132248,,
posizione,validation,,,,,,0.805357928432479,,,,0.8661616161616162
posizione_basso,validation,,,,,,0.9173967459324155,0.8936170212765957,,,
posizione_medio,validation,,,,,,0.889658466682589,0.9113924050632911,,,
posizione_alto,validation,,,,,,0.8783410138248848,0.8709677419354839,,,
posizione_giunzione,validation,,,,,,0.7520661157024793,0.5454545454545454,,,
posizione,test,,,,,,0.8237964364018158,,,,0.8615384615384616
posizione_basso,test,,,,,,0.9203626562117129,0.9056603773584906,,,
posizione_medio,test,,,,,,0.8397435897435898,0.8717948717948718,,,
posizione_alto,test,,,,,,0.8833632401948218,0.851063829787234,,,
posizione_giunzione,test,,,,,,0.825268817204301,0.6666666666666666,,,
infiltrazione_organi_dettagli,validation,,,,,,0.9090909090909092,,,,0.17676767676767677
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,1.0,1.0,,,
infiltrazione_organi_dettagli_altro,validation,,,,,,0.8909090909090909,0.8181818181818182,,,
infiltrazione_organi_dettagli,test,,,,,,0.9014492753623189,,,,0.22564102564102564
infiltrazione_organi_dettagli_pavimento_pelvico,test,,,,,,0.9623188405797102,0.9333333333333333,,,
infiltrazione_organi_dettagli_altro,test,,,,,,0.9207639171068671,0.8695652173913043,,,
sedi_linfonodi,validation,,,,,,0.7400542859395387,,,,0.7435064935064934
sedi_linfonodi_mesorettali,validation,,,,,,0.710410849621061,0.8990825688073395,,,
sedi_linfonodi_rettali_superiori,validation,,,,,,0.8332950631458094,0.835820895522388,,,
sedi_linfonodi_otturatori,validation,,,,,,0.8181818181818181,0.7272727272727273,,,
sedi_linfonodi_iliaci,validation,,,,,,0.7843137254901961,0.6666666666666666,,,
sedi_linfonodi_altro,validation,,,,,,0.7602905569007263,0.5714285714285714,,,
sedi_linfonodi,test,,,,,,0.6468991239996121,,,,0.6567521367521366
sedi_linfonodi_mesorettali,test,,,,,,0.6358543417366946,0.8431372549019608,,,
sedi_linfonodi_rettali_superiori,test,,,,,,0.8293148722845548,0.8135593220338984,,,
sedi_linfonodi_otturatori,test,,,,,,0.8358585858585859,0.7272727272727273,,,
sedi_linfonodi_iliaci,test,,,,,,0.7771428571428571,0.64,,,
sedi_linfonodi_altro,test,,,,,,0.5376955903271693,0.21052631578947367,,,
