field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,2.727272727272727,0.22727272727272727,0.7326388888888888,0.8541666666666666,0.8541666666666666,,,,,
ore_inizio,test,0.25,0.020833333333333332,0.726890756302521,0.8823529411764706,0.8823529411764706,,,,,
ore_fine,validation,1.2727272727272727,0.10606060606060605,0.7326388888888888,0.8541666666666666,0.8541666666666666,,,,,
ore_fine,test,1.125,0.09375,0.726890756302521,0.8823529411764706,0.8823529411764706,,,,,
spessore_parietale,validation,7.125,0.125,0.935672514619883,0.9824561403508771,0.9824561403508771,,,,,
spessore_parietale,test,0.0,0.0,0.9452861952861953,0.9814814814814815,0.9814814814814815,,,,,
estensione_cranio_caudale,validation,0.14754098360655737,0.0029884099049934704,0.9403794037940378,0.8888888888888888,0.8888888888888888,,,,,
estensione_cranio_caudale,test,0.04918032786885246,0.0016964891603271546,0.688,0.4,0.4,,,,,
distanza_oai,validation,2.8979591836734695,0.36083998816918067,0.6727272727272727,0.45454545454545453,0.45454545454545453,,,,,
distanza_oai,test,1.9148936170212767,0.19148936170212766,0.617003367003367,0.36363636363636365,0.36363636363636365,,,,,
linfonodi_sospetti,validation,1.2272727272727273,0.3611111111111111,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,1.7846153846153847,0.2936507936507936,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.6881889763779527,0.4,0.4883252384031963,,
infiltrazione_sfinteri,test,,,,,,0.48412698412698413,0.0,-0.031746031746031744,,
infiltrazione_organi_extra,validation,,,,,,0.9779042517576164,0.9655172413793104,0.9567573440452994,,
infiltrazione_organi_extra,test,,,,,,1.0,1.0,1.0,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.9521044992743106,0.9230769230769231,0.9085135251589957,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.9488993710691824,0.9166666666666666,0.9026709338484401,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.8029850746268656,0.8,0.6518746478576259,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.738213693437574,0.746268656716418,0.5850315416812197,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.7115251897860593,0.7246376811594203,0.42600643361512913,,
numero_linfonodi_non_conosciuto,test,,,,,,0.7344388368180725,0.7017543859649122,0.4983497032266451,,
depositi_tumorali,validation,,,,,,1.0,1.0,1.0,,
depositi_tumorali,test,,,,,,0.9623188405797102,0.9333333333333333,0.9273153687411032,,
emvi,validation,,,,,,0.9521044992743106,0.9230769230769231,0.9085135251589957,,
emvi,test,,,,,,0.9716033202271734,0.9523809523809523,0.9447549859466603,,
