field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,0.0,0.0,0.6243722798794777,0.8349514563106796,0.8349514563106796,,,,,
ore_inizio,test,0.0,0.0,0.6422955974842768,0.8679245283018868,0.8679245283018868,,,,,
ore_fine,validation,0.0,0.0,0.6243722798794777,0.8349514563106796,0.8349514563106796,,,,,
ore_fine,test,0.0,0.0,0.6422955974842768,0.8679245283018868,0.8679245283018868,,,,,
spessore_parietale,validation,8.142857142857142,0.14285714285714285,0.7818181818181817,0.9272727272727272,0.9272727272727272,,,,,
spessore_parietale,test,2.5833333333333335,0.36904761904761907,0.9752380952380952,0.9904761904761905,0.9904761904761905,,,,,
estensione_cranio_caudale,validation,0.14754098360655737,0.0029884099049934704,0.8669354838709677,0.75,0.75,,,,,
estensione_cranio_caudale,test,0.04918032786885246,0.0016964891603271546,0.688,0.4,0.4,,,,,
distanza_oai,validation,2.784313725490196,0.35362318840579704,0.7053571428571428,0.5,0.5,,,,,
distanza_oai,test,0.0,0.0,0.6717171717171717,0.45454545454545453,0.45454545454545453,,,,,
linfonodi_sospetti,validation,1.9545454545454546,0.2569444444444445,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,2.523076923076923,0.28174603174603174,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.6881889763779527,0.4,0.4883252384031963,,
infiltrazione_sfinteri,test,,,,,,0.6004098360655737,0.25,0.2509510204628185,,
infiltrazione_organi_extra,validation,,,,,,0.9393939393939394,0.9090909090909091,0.8856148855400953,,
infiltrazione_organi_extra,test,,,,,,0.8884439359267735,0.8421052631578947,0.7988860519080363,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.9301587301587302,0.8888888888888888,0.8613001729052979,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.9519230769230769,0.9230769230769231,0.9038461538461539,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.8018933271761718,0.8169014084507042,0.6131393394849659,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.7224857685009488,0.7352941176470589,0.5385421109300521,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.3333333333333333,0.0,0.0,,
numero_linfonodi_non_conosciuto,test,,,,,,0.32989690721649484,0.0,0.0,,
depositi_tumorali,validation,,,,,,0.8987212276214833,0.8235294117647058,0.8151115136354148,,
depositi_tumorali,test,,,,,,0.9661634565330557,0.9411764705882353,0.9345021920672832,,
