field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,2.5,0.2111111111111111,0.6158730158730159,0.7555555555555555,0.7555555555555555,,,,,
ore_inizio,test,1.1,0.09696969696969697,0.6788724208079047,0.8172043010752689,0.8172043010752689,,,,,
ore_fine,validation,1.8,0.38333333333333336,0.6158730158730159,0.7555555555555555,0.7555555555555555,,,,,
ore_fine,test,1.6,0.20166666666666666,0.6788724208079047,0.8172043010752689,0.8172043010752689,,,,,
spessore_parietale,validation,8.142857142857142,0.14285714285714285,0.8713450292397661,0.9649122807017544,0.9649122807017544,,,,,
spessore_parietale,test,1.9166666666666667,0.2738095238095238,0.9752380952380952,0.9904761904761905,0.9904761904761905,,,,,
estensione_cranio_caudale,validation,0.5483870967741935,0.007184691918410384,0.9245714285714286,0.8571428571428571,0.8571428571428571,,,,,
estensione_cranio_caudale,test,1.0161290322580645,0.03392719094806382,0.7420634920634921,0.5,0.5,,,,,
distanza_oai,validation,2.8979591836734695,0.3761948812827628,0.6727272727272727,0.45454545454545453,0.45454545454545453,,,,,
distanza_oai,test,1.9148936170212767,0.1956521739130435,0.6566436407964242,0.43478260869565216,0.43478260869565216,,,,,
linfonodi_sospetti,validation,1.8181818181818181,0.18402777777777776,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,2.523076923076923,0.2341269841269841,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.6228571428571428,0.2857142857142857,0.3922322702763681,,
infiltrazione_sfinteri,test,,,,,,0.6004098360655737,0.25,0.2509510204628185,,
infiltrazione_organi_extra,validation,,,,,,0.9779042517576164,0.9655172413793104,0.9567573440452994,,
infiltrazione_organi_extra,test,,,,,,0.9796938456732271,0.9696969696969697,0.9601920576192067,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.835,0.75,0.6808809742524028,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.9519230769230769,0.9230769230769231,0.9038461538461539,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.9379699248120301,0.9473684210526315,0.8759398496240601,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.8416179337231968,0.868421052631579,0.7105755943916403,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.6944444444444444,0.7222222222222222,0.40061680838488767,,
numero_linfonodi_non_conosciuto,test,,,,,,0.767247553115302,0.7457627118644068,0.5527707983925666,,
depositi_tumorali,validation,,,,,,0.9623931623931624,0.9333333333333333,0.9274532287535711,,
depositi_tumorali,test,,,,,,0.935515873015873,0.8888888888888888,0.8785953702139588,,
emvi,validation,,,,,,0.9767195767195767,0.9629629629629629,0.954490027678658,,
emvi,test,,,,,,0.9148099606815203,0.8571428571428571,0.8310344783790068,,
stadio_N1c,validation,,,,,,0.9623931623931624,0.9333333333333333,0.9274532287535711,,
stadio_N1c,test,,,,,,0.935515873015873,0.8888888888888888,0.8785953702139588,,
mrf,validation,,,,,,0.9379699248120301,0.9473684210526315,0.8759398496240601,,
mrf,test,,,,,,0.8247978436657681,0.8571428571428571,0.6702249023263117,,
metastasi,validation,,,,,,0.4634146341463415,0.0,0.0,,
metastasi,test,,,,,,0.4583333333333333,0.0,-0.050111482858579574,,
morfologia,validation,,,,,,0.7665130568356374,,0.7290387668534396,,
morfologia,test,,,,,,0.7445608380338437,,0.6319873537220466,,
riflessione_peritoneale_anteriore,validation,,,,,,0.5309689491338352,,0.3989622756359597,,
riflessione_peritoneale_anteriore,test,,,,,,0.51963134166524,,0.3953942636703698,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.7049836601307189,,0.6195497892663937,,
infiltrazione_tessuto_adiposo,test,,,,,,0.8976853899454519,,0.8424722061835898,,
stadio_T,validation,,,,,,0.807880338052752,,0.7474142575501648,,
stadio_T,test,,,,,,0.8970743542172114,,0.8533675435372572,,
stadio_N,validation,,,,,,0.7054667919799498,,0.668008076450813,,
stadio_N,test,,,,,,0.5259552845528455,,0.5001397739910228,,
posizione,validation,,,,,,0.8251749232956671,,,,0.8383838383838383
posizione_basso,validation,,,,,,0.8665318503538928,0.8260869565217391,,,
posizione_medio,validation,,,,,,0.8214900417998525,0.8674698795180723,,,
posizione_alto,validation,,,,,,0.8633540372670807,0.8571428571428571,,,
posizione_giunzione,validation,,,,,,0.8669354838709677,0.75,,,
posizione,test,,,,,,0.8908333333333334,,,,0.8482051282051283
posizione_basso,test,,,,,,0.9025000000000001,0.88,,,
posizione_medio,test,,,,,,0.8049999999999999,0.85,,,
posizione_alto,test,,,,,,0.8678861788617886,0.8333333333333334,,,
posizione_giunzione,test,,,,,,1.0,1.0,,,
infiltrazione_organi_dettagli,validation,,,,,,0.8963210702341138,,,,0.1919191919191919
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,0.9573367808661927,0.9230769230769231,,,
infiltrazione_organi_dettagli_altro,validation,,,,,,0.9210211408057439,0.8695652173913043,,,
infiltrazione_organi_dettagli,test,,,,,,0.9014492753623189,,,,0.22564102564102564
infiltrazione_organi_dettagli_pavimento_pelvico,test,,,,,,0.9623188405797102,0.9333333333333333,,,
infiltrazione_organi_dettagli_altro,test,,,,,,0.9207639171068671,0.8695652173913043,,,
sedi_linfonodi,validation,,,,,,0.72844396474186,,,,0.7673881673881674
sedi_linfonodi_mesorettali,validation,,,,,,0.710410849621061,0.8990825688073395,,,
sedi_linfonodi_rettali_superiori,validation,,,,,,0.8483455882352942,0.8529411764705882,,,
sedi_linfonodi_otturatori,validation,,,,,,0.8811524609843937,0.8235294117647058,,,
sedi_linfonodi_iliaci,validation,,,,,,0.8274509803921568,0.7333333333333333,,,
sedi_linfonodi_altro,validation,,,,,,0.6333333333333333,0.3333333333333333,,,
sedi_linfonodi,test,,,,,,0.6574125501880214,,,,0.6807081807081807
sedi_linfonodi_mesorettali,test,,,,,,0.7115056333219529,0.8712871287128713,,,
sedi_linfonodi_rettali_superiori,test,,,,,,0.8149905123339658,0.8064516129032258,,,
sedi_linfonodi_otturatori,test,,,,,,0.8358585858585859,0.7272727272727273,,,
sedi_linfonodi_iliaci,test,,,,,,0.7596153846153846,0.6153846153846154,,,
sedi_linfonodi_altro,test,,,,,,0.5855072463768116,0.26666666666666666,,,
