field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,1.3636363636363635,0.11363636363636363,0.6507936507936508,0.7777777777777778,0.7777777777777778,,,,,
ore_inizio,test,0.2,0.016666666666666666,0.7512755102040816,0.8775510204081632,0.8775510204081632,,,,,
ore_fine,validation,0.5454545454545454,0.045454545454545456,0.6507936507936508,0.7777777777777778,0.7777777777777778,,,,,
ore_fine,test,0.9,0.075,0.7512755102040816,0.8775510204081632,0.8775510204081632,,,,,
spessore_parietale,validation,8.142857142857142,0.14285714285714285,0.8987212276214833,0.9739130434782609,0.9739130434782609,,,,,
spessore_parietale,test,0.0,0.0,0.9452861952861953,0.9814814814814815,0.9814814814814815,,,,,
estensione_cranio_caudale,validation,0.5483870967741935,0.007184691918410384,0.9245714285714286,0.8571428571428571,0.8571428571428571,,,,,
estensione_cranio_caudale,test,1.0161290322580645,0.03392719094806382,0.7420634920634921,0.5,0.5,,,,,
distanza_oai,validation,2.784313725490196,0.36835748792270523,0.6618537494177923,0.42105263157894735,0.42105263157894735,,,,,
distanza_oai,test,1.7647058823529411,0.1875,0.7636363636363637,0.6,0.6,,,,,
linfonodi_sospetti,validation,0.9090909090909091,0.3958333333333333,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,1.0615384615384615,0.25396825396825395,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.6881889763779527,0.4,0.4883252384031963,,
infiltrazione_sfinteri,test,,,,,,0.6225319396051103,0.2857142857142857,0.2828894749305018,,
infiltrazione_organi_extra,validation,,,,,,0.9779042517576164,0.9655172413793104,0.9567573440452994,,
infiltrazione_organi_extra,test,,,,,,0.9796938456732271,0.9696969696969697,0.9601920576192067,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.8524433088470138,0.7741935483870968,0.7114126353112985,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.9298813376483279,0.8888888888888888,0.8607533668498877,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.8927327606222428,0.9041095890410958,0.7892419650006649,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.8397435897435898,0.8717948717948718,0.6950509000860631,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.7701416299048061,0.7945205479452054,0.558156305651438,,
numero_linfonodi_non_conosciuto,test,,,,,,0.8153409090909092,0.8125,0.6322277721650071,,
depositi_tumorali,validation,,,,,,1.0,1.0,1.0,,
depositi_tumorali,test,,,,,,0.9287280701754386,0.875,0.8574561403508771,,
emvi,validation,,,,,,0.9767195767195767,0.9629629629629629,0.954490027678658,,
emvi,test,,,,,,0.9716033202271734,0.9523809523809523,0.9447549859466603,,
stadio_N1c,validation,,,,,,1.0,1.0,1.0,,
stadio_N1c,test,,,,,,0.9287280701754386,0.875,0.8574561403508771,,
mrf,validation,,,,,,0.9069548872180451,0.9210526315789473,0.8139097744360902,,
mrf,test,,,,,,0.8678861788617886,0.9024390243902439,0.7376484655980597,,
metastasi,validation,,,,,,0.45901639344262296,0.0,-0.04928640580901442,,
metastasi,test,,,,,,0.4628099173553719,0.0,0.0,,
morfologia,validation,,,,,,0.7665130568356374,,0.7290387668534396,,
morfologia,test,,,,,,0.7343304843304842,,0.5966808369627792,,
riflessione_peritoneale_anteriore,validation,,,,,,0.6891810517864311,,0.5131813046434268,,
riflessione_peritoneale_anteriore,test,,,,,,0.6555555555555556,,0.49341480800599935,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.7325102880658436,,0.605406459254963,,
infiltrazione_tessuto_adiposo,test,,,,,,0.8357142857142857,,0.7759753026634979,,
stadio_T,validation,,,,,,0.8004761904761905,,0.7261877308051109,,
stadio_T,test,,,,,,0.8731313131313131,,0.7909238665117135,,
stadio_N,validation,,,,,,0.698978621424224,,0.6425131299792749,,
stadio_N,test,,,,,,0.6034502490295174,,0.48111357290308654,,
posizione,validation,,,,,,0.809609405363389,,,,0.8454545454545455
posizione_basso,validation,,,,,,0.8690476190476191,0.8333333333333334,,,
posizione_medio,validation,,,,,,0.8214900417998525,0.8674698795180723,,,
posizione_alto,validation,,,,,,0.8783410138248848,0.8709677419354839,,,
posizione_giunzione,validation,,,,,,0.8211382113821137,0.6666666666666666,,,
posizione,test,,,,,,0.9060351882160392,,,,0.8615384615384616
posizione_basso,test,,,,,,0.9358974358974359,0.9230769230769231,,,
posizione_medio,test,,,,,,0.8049999999999999,0.85,,,
posizione_alto,test,,,,,,0.8833632401948218,0.851063829787234,,,
posizione_giunzione,test,,,,,,1.0,1.0,,,
infiltrazione_organi_dettagli,validation,,,,,,0.9583333333333333,,,,0.20707070707070707
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,1.0,1.0,,,
infiltrazione_organi_dettagli_altro,validation,,,,,,0.9490740740740741,0.9166666666666666,,,
infiltrazione_organi_dettagli,test,,,,,,0.9212121212121211,,,,0.22564102564102564
infiltrazione_organi_dettagli_pavimento_pelvico,test,,,,,,0.9623188405797102,0.9333333333333333,,,
infiltrazione_organi_dettagli_altro,test,,,,,,0.9452861952861953,0.9090909090909091,,,
sedi_linfonodi,validation,,,,,,0.6947198179948744,,,,0.7413419913419913
sedi_linfonodi_mesorettali,validation,,,,,,0.6792523364485981,0.8785046728971962,,,
sedi_linfonodi_rettali_superiori,validation,,,,,,0.8175115207373271,0.8285714285714286,,,
sedi_linfonodi_otturatori,validation,,,,,,0.87625,0.8125,,,
sedi_linfonodi_iliaci,validation,,,,,,0.7569467693337797,0.6206896551724138,,,
sedi_linfonodi_altro,validation,,,,,,0.6333333333333333,0.3333333333333333,,,
sedi_linfonodi,test,,,,,,0.6591481393457903,,,,0.6601953601953602
sedi_linfonodi_mesorettali,test,,,,,,0.6961524631427544,0.8737864077669902,,,
sedi_linfonodi_rettali_superiori,test,,,,,,0.7998104714522625,0.7936507936507936,,,
sedi_linfonodi_otturatori,test,,,,,,0.7955974842767295,0.6666666666666666,,,
sedi_linfonodi_iliaci,test,,,,,,0.7622917513206013,0.6086956521739131,,,
sedi_linfonodi_altro,test,,,,,,0.6277980218636127,0.35294117647058826,,,
