field,split,mae,mape,f1_missing,precision_missing,recall_missing,f1_macro,f1,mcc,best_threshold,f1_samples
ore_inizio,validation,1.6,0.14166666666666666,0.680796586059744,0.8210526315789474,0.8210526315789474,,,,,
ore_inizio,test,0.2222222222222222,0.018518518518518517,0.6813725490196079,0.8333333333333334,0.8333333333333334,,,,,
ore_fine,validation,0.7,0.058333333333333334,0.680796586059744,0.8210526315789474,0.8210526315789474,,,,,
ore_fine,test,1.0,0.08333333333333333,0.6813725490196079,0.8333333333333334,0.8333333333333334,,,,,
spessore_parietale,validation,8.142857142857142,0.14285714285714285,0.8462971588262692,0.9557522123893806,0.9557522123893806,,,,,
spessore_parietale,test,0.0,0.0,0.9452861952861953,0.9814814814814815,0.9814814814814815,,,,,
estensione_cranio_caudale,validation,0.5483870967741935,0.007184691918410384,0.9245714285714286,0.8571428571428571,0.8571428571428571,,,,,
estensione_cranio_caudale,test,1.0161290322580645,0.03392719094806382,0.7420634920634921,0.5,0.5,,,,,
distanza_oai,validation,2.784313725490196,0.3761948812827628,0.6618537494177923,0.42105263157894735,0.42105263157894735,,,,,
distanza_oai,test,2.2448979591836733,0.21739130434782608,0.6454545454545455,0.4,0.4,,,,,
linfonodi_sospetti,validation,0.8636363636363636,0.3854166666666667,1.0,0.0,0.0,,,,,
linfonodi_sospetti,test,0.7384615384615385,0.3126984126984127,1.0,0.0,0.0,,,,,
infiltrazione_sfinteri,validation,,,,,,0.6881889763779527,0.4,0.4883252384031963,,
infiltrazione_sfinteri,test,,,,,,0.6225319396051103,0.2857142857142857,0.2828894749305018,,
infiltrazione_organi_extra,validation,,,,,,0.9779042517576164,0.9655172413793104,0.9567573440452994,,
infiltrazione_organi_extra,test,,,,,,0.9796938456732271,0.9696969696969697,0.9601920576192067,,
coinvolgimento_riflessione_peritoneale,validation,,,,,,0.8524433088470138,0.7741935483870968,0.7114126353112985,,
coinvolgimento_riflessione_peritoneale,test,,,,,,0.9752380952380952,0.96,0.951661902861773,,
coinvolgimento_fascia_mesorettale,validation,,,,,,0.8777777777777778,0.8888888888888888,0.7621291812987965,,
coinvolgimento_fascia_mesorettale,test,,,,,,0.8099415204678362,0.8421052631578947,0.6461580021525097,,
numero_linfonodi_non_conosciuto,validation,,,,,,0.7394938472254469,0.7671232876712328,0.4961389383568338,,
numero_linfonodi_non_conosciuto,test,,,,,,0.8153409090909092,0.8125,0.6322277721650071,,
depositi_tumorali,validation,,,,,,0.9623931623931624,0.9333333333333333,0.9274532287535711,,
depositi_tumorali,test,,,,,,0.9287280701754386,0.875,0.8574561403508771,,
emvi,validation,,,,,,0.9546703296703296,0.9285714285714286,0.9093406593406593,,
emvi,test,,,,,,0.9409090909090909,0.9,0.8882347881956881,,
stadio_N1c,validation,,,,,,0.9623931623931624,0.9333333333333333,0.9274532287535711,,
stadio_N1c,test,,,,,,0.9287280701754386,0.875,0.8574561403508771,,
mrf,validation,,,,,,0.8927327606222428,0.9041095890410958,0.7892419650006649,,
mrf,test,,,,,,0.8247978436657681,0.8571428571428571,0.6702249023263117,,
metastasi,validation,,,,,,0.45901639344262296,0.0,-0.04928640580901442,,
metastasi,test,,,,,,0.453781512605042,0.0,-0.07142857142857142,,
morfologia,validation,,,,,,0.7557603686635944,,0.7035143746886595,,
morfologia,test,,,,,,0.7564102564102564,,0.6558482731223225,,
riflessione_peritoneale_anteriore,validation,,,,,,0.7704643048845948,,0.6295799626312698,,
riflessione_peritoneale_anteriore,test,,,,,,0.6304176516942473,,0.4672431511390956,,
infiltrazione_tessuto_adiposo,validation,,,,,,0.7706542779713511,,0.6864251059269184,,
infiltrazione_tessuto_adiposo,test,,,,,,0.7946041574524546,,0.7788709362626451,,
stadio_T,validation,,,,,,0.8326916078640216,,0.7675853599269811,,
stadio_T,test,,,,,,0.929072596156451,,0.8948035423401465,,
stadio_N,validation,,,,,,0.6851351351351351,,0.603703429943297,,
stadio_N,test,,,,,,0.583552220137586,,0.48578778477150103,,
posizione,validation,,,,,,0.8340122786226875,,,,0.853030303030303
posizione_basso,validation,,,,,,0.8690476190476191,0.8333333333333334,,,
posizione_medio,validation,,,,,,0.8214900417998525,0.8674698795180723,,,
posizione_alto,validation,,,,,,0.8933271761717848,0.8852459016393442,,,
posizione_giunzione,validation,,,,,,0.8669354838709677,0.75,,,
posizione,test,,,,,,0.8956866004104054,,,,0.8615384615384616
posizione_basso,test,,,,,,0.9203626562117129,0.9056603773584906,,,
posizione_medio,test,,,,,,0.8225366095805411,0.8607594936708861,,,
posizione_alto,test,,,,,,0.8526077097505669,0.8163265306122449,,,
posizione_giunzione,test,,,,,,1.0,1.0,,,
infiltrazione_organi_dettagli,validation,,,,,,0.9583333333333333,,,,0.20707070707070707
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,1.0,1.0,,,
infiltrazione_organi_dettagli_altro,validation,,,,,,0.9490740740740741,0.9166666666666666,,,
infiltrazione_organi_dettagli,test,,,,,,0.925,,,,0.23076923076923078
