field,split,mae,mape,f1_missing,precision_missing,recall_missing,iou_mean,iou_median,f1_macro,f1,mcc,f1_samples
ore_inizio,total,1.9534883720930232,0.3122063659854357,0.685,0.5135135135135135,0.6404494382022472,,,,,,
ore_fine,total,2.011627906976744,0.5886004983388704,0.685,0.5135135135135135,0.6404494382022472,,,,,,
spessore_parietale,total,0.0851063829787234,0.006382978723404256,0.9022683397683398,0.9920634920634921,0.9398496240601504,,,,,,
estensione_cranio_caudale,total,0.04950495049504951,0.0006922005462693233,0.8967213114754098,0.8888888888888888,0.7272727272727273,,,,,,
distanza_oai,total,0.7491166077738516,0.00850622406639004,0.8195876288659794,0.64,0.6956521739130435,,,,,,
linfonodi_sospetti,total,1.4126984126984128,0.31061987840338356,1.0,0.0,0.0,,,,,,
ore_iou,total,,,,,,0.5456289653908701,0.5714285714285714,,,,
infiltrazione_sfinteri,total,,,,,,,,0.6938775510204082,0.42857142857142855,0.41079191812887456,
infiltrazione_organi_extra,total,,,,,,,,0.881811359963057,0.8169014084507042,0.764883095195952,
coinvolgimento_riflessione_peritoneale,total,,,,,,,,0.9437399535631363,0.9090909090909091,0.8898498229589159,
coinvolgimento_fascia_mesorettale,total,,,,,,,,0.8328571428571429,0.8142857142857143,0.6792855366565873,
numero_linfonodi_non_conosciuto,total,,,,,,,,0.6104928457869634,0.4954954954954955,0.2775647427149744,
depositi_tumorali,total,,,,,,,,0.9304328621908127,0.875,0.861402232877677,
emvi,total,,,,,,,,0.9233562297628628,0.8712871287128713,0.8572630754784398,
stadio_N,total,,,,,,,,0.7428571428571429,0.9142857142857143,0.5469015129159798,
mrf,total,,,,,,,,0.8328571428571429,0.8142857142857143,0.6792855366565873,
metastasi,total,,,,,,,,0.7203086249655553,0.49122807017543857,0.44878147650644756,
morfologia,total,,,,,,,,0.7702271390851481,,0.6513909608165303,
riflessione_peritoneale_anteriore,total,,,,,,,,0.3561126556524889,,0.21227849468539098,
infiltrazione_tessuto_adiposo,total,,,,,,,,0.7178390519736674,,0.5870079992295433,
stadio_T,total,,,,,,,,0.7591701240290433,,0.6783251447102251,
posizione,total,,,,,,,,0.9517663206292148,,,0.9261375661375661
posizione_basso,total,,,,,,,,0.9257202881152461,0.907563025210084,,
posizione_medio,total,,,,,,,,0.9567129311529476,0.9660574412532638,,
posizione_alto,total,,,,,,,,0.9803534303534304,0.9769230769230769,,
posizione_giunzione,total,,,,,,,,0.9765485407980941,0.9565217391304348,,
infiltrazione_organi_dettagli,total,,,,,,,,0.48709133805190435,,,0.13015873015873017
infiltrazione_organi_dettagli_muscolo_elevatore,total,,,,,,,,0.7420339487790351,0.5217391304347826,,
infiltrazione_organi_dettagli_pavimento_pelvico,total,,,,,,,,0.5382512578740937,0.13953488372093023,,
infiltrazione_organi_dettagli_altro,total,,,,,,,,0.8844036697247707,0.8,,
sedi_linfonodi,total,,,,,,,,0.6501223267035645,,,0.6005089443184681
sedi_linfonodi_mesorettali,total,,,,,,,,0.7191208791208792,0.843956043956044,,
sedi_linfonodi_rettali_superiori,total,,,,,,,,0.7584561642668484,0.7024793388429752,,
sedi_linfonodi_otturatori,total,,,,,,,,0.8156601123595506,0.6875,,
sedi_linfonodi_iliaci,total,,,,,,,,0.787432518259765,0.6382978723404256,,
sedi_linfonodi_altro,total,,,,,,,,0.647822282714369,0.3783783783783784,,
ore_inizio,val-test,1.5569620253164558,0.2728103823040532,0.6458333333333333,0.4411764705882353,0.5,,,,,,
ore_fine,val-test,2.1139240506329116,0.7883514165159735,0.6458333333333333,0.4411764705882353,0.5,,,,,,
spessore_parietale,val-test,0.15,0.01,0.9451114922813035,1.0,0.9629629629629629,,,,,,
estensione_cranio_caudale,val-test,0.016260162601626018,0.00040504006480641036,0.9424201529464686,0.8,1.0,,,,,,
distanza_oai,val-test,1.353448275862069,0.01020408163265306,0.857872529424828,0.6363636363636364,0.875,,,,,,
linfonodi_sospetti,val-test,1.53125,0.2604989604989605,1.0,0.0,0.0,,,,,,
ore_iou,val-test,,,,,,0.4960430194805195,0.5227272727272727,,,,
infiltrazione_sfinteri,val-test,,,,,,,,0.7794732955943884,0.5882352941176471,0.5601675975251952,
infiltrazione_organi_extra,val-test,,,,,,,,0.8263229308005428,0.7272727272727273,0.657833964914114,
coinvolgimento_riflessione_peritoneale,val-test,,,,,,,,0.942107643600181,0.9090909090909091,0.8904382398008727,
coinvolgimento_fascia_mesorettale,val-test,,,,,,,,0.8669845345069992,0.8617886178861789,0.739185226052647,
numero_linfonodi_non_conosciuto,val-test,,,,,,,,0.6230254350736278,0.5111111111111111,0.31868204995343674,
depositi_tumorali,val-test,,,,,,,,0.8796992481203008,0.7857142857142857,0.7620006701182372,
emvi,val-test,,,,,,,,0.8638780574264445,0.7692307692307693,0.7584334110111798,
stadio_N,val-test,,,,,,,,0.7438651922064243,0.909952606635071,0.5438262543893748,
mrf,val-test,,,,,,,,0.8669845345069992,0.8617886178861789,0.739185226052647,
metastasi,val-test,,,,,,,,0.772278829047388,0.5925925925925926,0.5450985812357123,
morfologia,val-test,,,,,,,,0.7561188811188811,,0.6772067540320288,
riflessione_peritoneale_anteriore,val-test,,,,,,,,0.2599973886930409,,0.16839208288361093,
infiltrazione_tessuto_adiposo,val-test,,,,,,,,0.7378359372030259,,0.647144729367145,
stadio_T,val-test,,,,,,,,0.7327090836334534,,0.654214634405165,
posizione,val-test,,,,,,,,0.9418806185264803,,,0.9317708333333333
posizione_basso,val-test,,,,,,,,0.947469220246238,0.9302325581395349,,
posizione_medio,val-test,,,,,,,,0.95,0.9625,,
posizione_alto,val-test,,,,,,,,0.9764460528737042,0.9747899159663865,,
posizione_giunzione,val-test,,,,,,,,0.9457627118644067,0.9,,
infiltrazione_organi_dettagli,val-test,,,,,,,,0.4362573099415205,,,0.12760416666666666
infiltrazione_organi_dettagli_muscolo_elevatore,val-test,,,,,,,,0.6502732240437158,0.3333333333333333,,
infiltrazione_organi_dettagli_pavimento_pelvico,val-test,,,,,,,,0.5396957123098202,0.13333333333333333,,
infiltrazione_organi_dettagli_altro,val-test,,,,,,,,0.9072911636890391,0.8421052631578947,,
sedi_linfonodi,val-test,,,,,,,,0.6534916614159252,,,0.5861111111111111
sedi_linfonodi_mesorettali,val-test,,,,,,,,0.7101449275362319,0.8369565217391305,,
sedi_linfonodi_rettali_superiori,val-test,,,,,,,,0.7551289662906524,0.6881720430107527,,
sedi_linfonodi_otturatori,val-test,,,,,,,,0.8262371961002097,0.7027027027027027,,
sedi_linfonodi_iliaci,val-test,,,,,,,,0.7731300957107409,0.6153846153846154,,
sedi_linfonodi_altro,val-test,,,,,,,,0.6695203152602256,0.42424242424242425,,
ore_inizio,train,2.2903225806451615,0.3456717714782231,0.6995798319327731,0.5454545454545454,0.711864406779661,,,,,,
ore_fine,train,1.924731182795699,0.4189196108550947,0.6995798319327731,0.5454545454545454,0.711864406779661,,,,,,
spessore_parietale,train,0.037037037037037035,0.003703703703703704,0.8741830065359477,0.9864864864864865,0.9240506329113924,,,,,,
estensione_cranio_caudale,train,0.07222222222222222,0.0008884268752689804,0.859504132231405,1.0,0.5714285714285714,,,,,,
distanza_oai,train,0.32934131736526945,0.007342657342657343,0.7944027986006996,0.6428571428571429,0.6,,,,,,
linfonodi_sospetti,train,1.3315508021390374,0.34152777777777776,1.0,0.0,0.0,,,,,,
ore_iou,train,,,,,,0.579570147618276,0.6,,,,
infiltrazione_sfinteri,train,,,,,,,,0.6356446991404011,0.32,0.3177060662418773,
infiltrazione_organi_extra,train,,,,,,,,0.9176178461292002,0.8735632183908046,0.8353359955146819,
coinvolgimento_riflessione_peritoneale,train,,,,,,,,0.9448051948051948,0.9090909090909091,0.8902347562002695,
coinvolgimento_fascia_mesorettale,train,,,,,,,,0.8078898705568112,0.7770700636942676,0.6374167871288327,
numero_linfonodi_non_conosciuto,train,,,,,,,,0.6019283746556474,0.48484848484848486,0.2509162647564872,
depositi_tumorali,train,,,,,,,,0.9692636423405654,0.9444444444444444,0.9385272846811308,
emvi,train,,,,,,,,0.9613316790736146,0.9354838709677419,0.9254945080270253,
stadio_N,train,,,,,,,,0.741932059447983,0.9171974522292994,0.5490494288693069,
mrf,train,,,,,,,,0.8078898705568112,0.7770700636942676,0.6374167871288327,
metastasi,train,,,,,,,,0.6738372093023256,0.4,0.3672710188037341,
morfologia,train,,,,,,,,0.7802010155483208,,0.6442124964303024,
riflessione_peritoneale_anteriore,train,,,,,,,,0.4219600819359952,,0.2515749998875222,
infiltrazione_tessuto_adiposo,train,,,,,,,,0.6986990769627358,,0.5465366355970792,
stadio_T,train,,,,,,,,0.7743192797540623,,0.6955072752588648,
posizione,train,,,,,,,,0.9605175279578586,,,0.9222816399286987
posizione_basso,train,,,,,,,,0.9113323850165955,0.8947368421052632,,
posizione_medio,train,,,,,,,,0.9611261247884062,0.968609865470852,,
posizione_alto,train,,,,,,,,0.9829239338873161,0.9787234042553191,,
posizione_giunzione,train,,,,,,,,1.0,1.0,,
infiltrazione_organi_dettagli,train,,,,,,,,0.49901662792776685,,,0.1319073083778966
infiltrazione_organi_dettagli_muscolo_elevatore,train,,,,,,,,0.7735294117647059,0.5882352941176471,,
infiltrazione_organi_dettagli_pavimento_pelvico,train,,,,,,,,0.5367464905037159,0.14285714285714285,,
infiltrazione_organi_dettagli_altro,train,,,,,,,,0.8661591515388118,0.7659574468085106,,
sedi_linfonodi,train,,,,,,,,0.6468185707865083,,,0.6103641456582634
sedi_linfonodi_mesorettali,train,,,,,,,,0.7253251173288432,0.8487084870848709,,
sedi_linfonodi_rettali_superiori,train,,,,,,,,0.7601491424310216,0.7114093959731543,,
sedi_linfonodi_otturatori,train,,,,,,,,0.8088243206887274,0.6779661016949152,,
sedi_linfonodi_iliaci,train,,,,,,,,0.7974921630094044,0.6545454545454545,,
sedi_linfonodi_altro,train,,,,,,,,0.6301911667765326,0.34146341463414637,,
ore_inizio,validation,1.9166666666666667,0.3047067901234568,0.6241758241758242,0.34782608695652173,0.6666666666666666,,,,,,
ore_fine,validation,2.75,1.2504409171075836,0.6241758241758242,0.34782608695652173,0.6666666666666666,,,,,,
spessore_parietale,validation,0.0,0.0,1.0,1.0,1.0,,,,,,
estensione_cranio_caudale,validation,0.03225806451612903,0.0008035472253417497,0.496,0.0,0.0,,,,,,
distanza_oai,validation,1.2203389830508475,0.0,0.825,0.6666666666666666,0.6666666666666666,,,,,,
linfonodi_sospetti,validation,1.507936507936508,0.2894308943089431,1.0,0.0,0.0,,,,,,
ore_iou,validation,,,,,,0.37934045672140904,0.4166666666666667,,,,
infiltrazione_sfinteri,validation,,,,,,,,0.8205128205128205,0.6666666666666666,0.6459987894743595,
infiltrazione_organi_extra,validation,,,,,,,,0.835016835016835,0.7407407407407407,0.6779076806833005,
coinvolgimento_riflessione_peritoneale,validation,,,,,,,,0.9251485148514851,0.88,0.8604560508152729,
coinvolgimento_fascia_mesorettale,validation,,,,,,,,0.869022869022869,0.8461538461538461,0.7454993164109748,
numero_linfonodi_non_conosciuto,validation,,,,,,,,0.6293079293919865,0.5116279069767442,0.3777185839634167,
depositi_tumorali,validation,,,,,,,,0.9078947368421053,0.8333333333333334,0.8157894736842105,
emvi,validation,,,,,,,,0.9070339399901624,0.8421052631578947,0.8292184909811913,
stadio_N,validation,,,,,,,,0.8,0.9333333333333333,0.6614378277661477,
mrf,validation,,,,,,,,0.869022869022869,0.8461538461538461,0.7454993164109748,
metastasi,validation,,,,,,,,0.7589285714285714,0.5714285714285714,0.5258849911562841,
morfologia,validation,,,,,,,,0.8130511463844797,,0.7861663652802894,
riflessione_peritoneale_anteriore,validation,,,,,,,,0.24875420875420873,,0.175886671874856,
infiltrazione_tessuto_adiposo,validation,,,,,,,,0.7020461757303863,,0.561412775628915,
stadio_T,validation,,,,,,,,0.6708710801393728,,0.5674294261939077,
posizione,validation,,,,,,,,0.9309049868260395,,,0.9068783068783068
posizione_basso,validation,,,,,,,,0.9135802469135802,0.8888888888888888,,
posizione_medio,validation,,,,,,,,0.9336842105263158,0.9473684210526315,,
posizione_alto,validation,,,,,,,,0.9678571428571429,0.9642857142857143,,
posizione_giunzione,validation,,,,,,,,0.9571136827773996,0.9230769230769231,,
infiltrazione_organi_dettagli,validation,,,,,,,,0.37777777777777777,,,0.12962962962962962
infiltrazione_organi_dettagli_muscolo_elevatore,validation,,,,,,,,0.65,0.3333333333333333,,
infiltrazione_organi_dettagli_pavimento_pelvico,validation,,,,,,,,0.4661016949152542,0.0,,
infiltrazione_organi_dettagli_altro,validation,,,,,,,,0.8811320754716981,0.8,,
sedi_linfonodi,validation,,,,,,,,0.6975119617224881,,,0.6332325522801713
sedi_linfonodi_mesorettali,validation,,,,,,,,0.8074702886247878,0.9052631578947369,,
sedi_linfonodi_rettali_superiori,validation,,,,,,,,0.7555432372505543,0.6818181818181818,,
sedi_linfonodi_otturatori,validation,,,,,,,,0.8864864864864865,0.8,,
sedi_linfonodi_iliaci,validation,,,,,,,,0.8450565666502705,0.7368421052631579,,
sedi_linfonodi_altro,validation,,,,,,,,0.6145104895104896,0.36363636363636365,,
ore_inizio,test,1.255813953488372,0.24610641296687807,0.6671218846022533,0.6363636363636364,0.3888888888888889,,,,,,
ore_fine,test,1.5813953488372092,0.4014857881136951,0.6671218846022533,0.6363636363636364,0.3888888888888889,,,,,,
spessore_parietale,test,0.23076923076923078,0.015384615384615385,0.9133333333333333,1.0,0.9230769230769231,,,,,,
estensione_cranio_caudale,test,0.0,0.0,1.0,1.0,1.0,,,,,,
distanza_oai,test,1.4912280701754386,0.02040816326530612,0.8717948717948718,0.625,1.0,,,,,,
linfonodi_sospetti,test,1.5538461538461539,0.22455322455322455,1.0,0.0,0.0,,,,,,
ore_iou,test,,,,,,0.6091547341547341,0.7142857142857143,,,,
infiltrazione_sfinteri,test,,,,,,,,0.7336065573770492,0.5,0.4672131147540984,
infiltrazione_organi_extra,test,,,,,,,,0.8179271708683473,0.7142857142857143,0.6390096504226939,
coinvolgimento_riflessione_peritoneale,test,,,,,,,,0.9566666666666667,0.9333333333333333,0.9168894559922718,
coinvolgimento_fascia_mesorettale,test,,,,,,,,0.8603485318691811,0.8732394366197183,0.7244287813096941,
numero_linfonodi_non_conosciuto,test,,,,,,,,0.6167649320687003,0.5106382978723404,0.2745265012153995,
depositi_tumorali,test,,,,,,,,0.8574561403508771,0.75,0.722885423617809,
emvi,test,,,,,,,,0.8227272727272728,0.7,0.6948083337796512,
stadio_N,test,,,,,,,,0.6933962264150944,0.8867924528301887,0.43818836184714965,
mrf,test,,,,,,,,0.8603485318691811,0.8732394366197183,0.7244287813096941,
metastasi,test,,,,,,,,0.7863247863247864,0.6153846153846154,0.5750317780266122,
morfologia,test,,,,,,,,0.697228144989339,,0.5684918599036678,
