field,split,mae,mape,f1_missing,precision_missing,recall_missing,iou_mean,iou_median,f1_macro,f1,mcc,f1_samples
ore_inizio,total,0.9714285714285714,0.16807359307359307,0.6613030107988271,0.42857142857142855,0.7,,,,,,
ore_fine,total,1.4142857142857144,0.23731395588538448,0.6613030107988271,0.42857142857142855,0.7,,,,,,
spessore_parietale,total,0.0,0.0,1.0,1.0,1.0,,,,,,
estensione_cranio_caudale,total,1.4065040650406504,0.02453659956221957,0.7796901893287436,0.6666666666666666,0.5,,,,,,
distanza_oai,total,2.1452991452991452,0.03177377333912288,0.880485527544351,0.7,0.875,,,,,,
linfonodi_sospetti,total,0.9296875,0.2684684684684685,1.0,0.0,0.0,,,,,,
ore_iou,total,,,,,,0.5908017113095239,1.0,,,,
infiltrazione_sfinteri,total,,,,,,,,0.6977567886658795,0.42857142857142855,0.4177028177018956,
infiltrazione_organi_extra,total,,,,,,,,0.8215447532298541,0.7169811320754716,0.6537563465088159,
coinvolgimento_riflessione_peritoneale,total,,,,,,,,0.9751456310679611,0.96,0.9502912621359223,
coinvolgimento_fascia_mesorettale,total,,,,,,,,0.9449056139703622,0.9401709401709402,0.8899282525711321,
numero_linfonodi_non_conosciuto,total,,,,,,,,0.6673050615595075,0.5581395348837209,0.4438896857387394,
depositi_tumorali,total,,,,,,,,0.91438127090301,0.8461538461538461,0.8415830964688563,
emvi,total,,,,,,,,0.8638780574264445,0.7692307692307693,0.7584334110111798,
stadio_N,total,,,,,,,,0.8758705809750507,0.9447236180904522,0.7536647113901805,
mrf,total,,,,,,,,0.9449056139703622,0.9401709401709402,0.8899282525711321,
metastasi,total,,,,,,,,0.5357142857142857,0.1875,0.07425486153211036,
morfologia,total,,,,,,,,0.7404492688074776,,0.6007910510081753,
riflessione_peritoneale_anteriore,total,,,,,,,,0.5154948126646239,,0.35216916817460786,
infiltrazione_tessuto_adiposo,total,,,,,,,,0.7622627350007116,,0.6540258956271435,
stadio_T,total,,,,,,,,0.7148594801424991,,0.6385567634412035,
posizione,total,,,,,,,,0.9282668233681532,,,0.9239583333333333
posizione_basso,total,,,,,,,,0.9397160734710355,0.9213483146067416,,
posizione_medio,total,,,,,,,,0.932755450485947,0.9506172839506173,,
posizione_alto,total,,,,,,,,0.9685580938344387,0.9661016949152542,,
posizione_giunzione,total,,,,,,,,0.9333333333333333,0.875,,
infiltrazione_organi_dettagli,total,,,,,,,,0.556980056980057,,,0.11588541666666666
infiltrazione_organi_dettagli_muscolo_elevatore,total,,,,,,,,0.7419354838709677,0.5,,
infiltrazione_organi_dettagli_pavimento_pelvico,total,,,,,,,,0.7609710550887021,0.5555555555555556,,
infiltrazione_organi_dettagli_altro,total,,,,,,,,0.7731300957107409,0.6153846153846154,,
sedi_linfonodi,total,,,,,,,,0.6816245158350421,,,0.5917534722222222
sedi_linfonodi_mesorettali,total,,,,,,,,0.8441558441558441,0.8928571428571429,,
sedi_linfonodi_rettali_superiori,total,,,,,,,,0.8744687806472704,0.8421052631578947,,
sedi_linfonodi_otturatori,total,,,,,,,,0.7738823209675227,0.6060606060606061,,
sedi_linfonodi_iliaci,total,,,,,,,,0.7994987468671679,0.6428571428571429,,
sedi_linfonodi_altro,total,,,,,,,,0.6695203152602256,0.42424242424242425,,
ore_inizio,val-test,0.9714285714285714,0.16807359307359307,0.6613030107988271,0.42857142857142855,0.7,,,,,,
ore_fine,val-test,1.4142857142857144,0.23731395588538448,0.6613030107988271,0.42857142857142855,0.7,,,,,,
spessore_parietale,val-test,0.0,0.0,1.0,1.0,1.0,,,,,,
estensione_cranio_caudale,val-test,1.4065040650406504,0.02453659956221957,0.7796901893287436,0.6666666666666666,0.5,,,,,,
distanza_oai,val-test,2.1452991452991452,0.03177377333912288,0.880485527544351,0.7,0.875,,,,,,
linfonodi_sospetti,val-test,0.9296875,0.2684684684684685,1.0,0.0,0.0,,,,,,
ore_iou,val-test,,,,,,0.5908017113095239,1.0,,,,
infiltrazione_sfinteri,val-test,,,,,,,,0.6977567886658795,0.42857142857142855,0.4177028177018956,
infiltrazione_organi_extra,val-test,,,,,,,,0.8215447532298541,0.7169811320754716,0.6537563465088159,
coinvolgimento_riflessione_peritoneale,val-test,,,,,,,,0.9751456310679611,0.96,0.9502912621359223,
coinvolgimento_fascia_mesorettale,val-test,,,,,,,,0.9449056139703622,0.9401709401709402,0.8899282525711321,
numero_linfonodi_non_conosciuto,val-test,,,,,,,,0.6673050615595075,0.5581395348837209,0.4438896857387394,
depositi_tumorali,val-test,,,,,,,,0.91438127090301,0.8461538461538461,0.8415830964688563,
emvi,val-test,,,,,,,,0.8638780574264445,0.7692307692307693,0.7584334110111798,
stadio_N,val-test,,,,,,,,0.8758705809750507,0.9447236180904522,0.7536647113901805,
mrf,val-test,,,,,,,,0.9449056139703622,0.9401709401709402,0.8899282525711321,
metastasi,val-test,,,,,,,,0.5357142857142857,0.1875,0.07425486153211036,
morfologia,val-test,,,,,,,,0.7404492688074776,,0.6007910510081753,
riflessione_peritoneale_anteriore,val-test,,,,,,,,0.5154948126646239,,0.35216916817460786,
