field,split,mae,mape,f1_missing,precision_missing,recall_missing,iou_mean,iou_median,f1_macro,f1,mcc,f1_samples
ore_inizio,total,0.9689922480620154,0.156244616709733,0.6515378650814163,0.44886363636363635,0.8876404494382022,,,,,,
ore_fine,total,1.302325581395349,0.229057462778393,0.6515378650814163,0.44886363636363635,0.8876404494382022,,,,,,
spessore_parietale,total,0.043478260869565216,0.003985507246376812,0.9814067879980325,0.9888475836431226,1.0,,,,,,
estensione_cranio_caudale,total,0.023026315789473683,0.0005252250421699779,0.9483606557377049,1.0,0.8181818181818182,,,,,,
distanza_oai,total,0.7743055555555556,0.007432624113475177,0.8923076923076924,0.8181818181818182,0.782608695652174,,,,,,
linfonodi_sospetti,total,0.5968253968253968,0.1962727993655829,1.0,0.0,0.0,,,,,,
ore_iou,total,,,,,,0.5777143315238553,1.0,,,,
infiltrazione_sfinteri,total,,,,,,,,0.8561593312023605,0.7346938775510204,0.716965629965384,
infiltrazione_organi_extra,total,,,,,,,,0.8636166835041131,0.7804878048780488,0.7538899491012941,
coinvolgimento_riflessione_peritoneale,total,,,,,,,,0.9357405140758874,0.8947368421052632,0.8714810281517748,
coinvolgimento_fascia_mesorettale,total,,,,,,,,0.9374117647058824,0.9254901960784314,0.8750062019253328,
numero_linfonodi_non_conosciuto,total,,,,,,,,0.5614994531172317,0.3707865168539326,0.33632568461935625,
depositi_tumorali,total,,,,,,,,0.9559082892416225,0.9206349206349206,0.9131171657367008,
emvi,total,,,,,,,,0.9257142857142857,0.8761904761904762,0.8561742385382908,
stadio_N,total,,,,,,,,0.9072110286320254,0.959349593495935,0.8150270852126655,
mrf,total,,,,,,,,0.9374117647058824,0.9254901960784314,0.8750062019253328,
metastasi,total,,,,,,,,0.6880076066716849,0.4186046511627907,0.47019313766544557,
morfologia,total,,,,,,,,0.8400041572016095,,0.7437734126620948,
riflessione_peritoneale_anteriore,total,,,,,,,,0.6273209494067246,,0.46353933583529333,
infiltrazione_tessuto_adiposo,total,,,,,,,,0.8166336297724919,,0.7083881009265995,
stadio_T,total,,,,,,,,0.8229026865322725,,0.7586634441828888,
posizione,total,,,,,,,,0.935198029835144,,,0.9284656084656085
posizione_basso,total,,,,,,,,0.9701166872213263,0.963855421686747,,
posizione_medio,total,,,,,,,,0.9351851851851851,0.9444444444444444,,
posizione_alto,total,,,,,,,,0.9900661207413092,0.9880478087649402,,
posizione_giunzione,total,,,,,,,,0.9162393162393163,0.8444444444444444,,
infiltrazione_organi_dettagli,total,,,,,,,,0.7536785512167515,,,0.14285714285714285
infiltrazione_organi_dettagli_muscolo_elevatore,total,,,,,,,,0.8683110367892977,0.75,,
infiltrazione_organi_dettagli_pavimento_pelvico,total,,,,,,,,0.8747728305315765,0.7741935483870968,,
infiltrazione_organi_dettagli_altro,total,,,,,,,,0.8503705111153335,0.7368421052631579,,
sedi_linfonodi,total,,,,,,,,0.7561921720985751,,,0.6396170319979844
sedi_linfonodi_mesorettali,total,,,,,,,,0.8845115488451154,0.9197080291970803,,
sedi_linfonodi_rettali_superiori,total,,,,,,,,0.9113022006584648,0.8879310344827587,,
sedi_linfonodi_otturatori,total,,,,,,,,0.8580366374168236,0.746268656716418,,
sedi_linfonodi_iliaci,total,,,,,,,,0.8779353638688677,0.782608695652174,,
sedi_linfonodi_altro,total,,,,,,,,0.6961805555555556,0.4444444444444444,,
ore_inizio,val-test,1.1372549019607843,0.20332244008714595,0.556923076923077,0.32857142857142857,0.7666666666666667,,,,,,
ore_fine,val-test,1.607843137254902,0.2109088079676315,0.556923076923077,0.32857142857142857,0.7666666666666667,,,,,,
spessore_parietale,val-test,0.0,0.0,1.0,1.0,1.0,,,,,,
estensione_cranio_caudale,val-test,0.04032258064516129,0.0009516269851048924,0.8293333333333333,1.0,0.5,,,,,,
distanza_oai,val-test,1.7627118644067796,0.01838999780653652,0.8666666666666667,0.75,0.75,,,,,,
linfonodi_sospetti,val-test,0.7890625,0.2177061677061677,1.0,0.0,0.0,,,,,,
