field,split,mae,mape,f1_missing,precision_missing,recall_missing,iou_mean,iou_median,f1_macro,f1,mcc,f1_samples
ore_inizio,total,1.6178343949044587,0.2878996976130734,0.6520346793720222,0.4609375,0.6629213483146067,,,,,,
ore_fine,total,1.6751592356687899,0.5860731978566374,0.6520346793720222,0.4609375,0.6629213483146067,,,,,,
spessore_parietale,total,0.043478260869565216,0.0025764895330112722,0.9309008482012284,0.9884615384615385,0.9661654135338346,,,,,,
estensione_cranio_caudale,total,0.016556291390728478,0.00034593909809558983,0.9058014354066986,0.8181818181818182,0.8181818181818182,,,,,,
distanza_oai,total,0.5418181818181819,0.010625909752547309,0.8157894736842105,0.5405405405405406,0.8695652173913043,,,,,,
linfonodi_sospetti,total,1.2126984126984126,0.28868402502423124,1.0,0.0,0.0,,,,,,
ore_iou,total,,,,,,0.5593388533864725,0.7,,,,
infiltrazione_sfinteri,total,,,,,,,,0.6856696602889496,0.41025641025641024,0.412992602382047,
infiltrazione_organi_extra,total,,,,,,,,0.9292929292929293,0.8888888888888888,0.8654338920428672,
coinvolgimento_riflessione_peritoneale,total,,,,,,,,0.9785801713586291,0.9649122807017544,0.9571603427172583,
coinvolgimento_fascia_mesorettale,total,,,,,,,,0.8996644865369914,0.8770491803278688,0.8006108038484526,
numero_linfonodi_non_conosciuto,total,,,,,,,,0.5399017394768291,0.35294117647058826,0.2318180016251975,
depositi_tumorali,total,,,,,,,,0.9582460698284775,0.9253731343283582,0.9166221980132494,
emvi,total,,,,,,,,0.944125159642401,0.9074074074074074,0.8903226302176308,
stadio_N,total,,,,,,,,0.7657142857142858,0.9219047619047619,0.5958708069945852,
mrf,total,,,,,,,,0.8996644865369914,0.8770491803278688,0.8006108038484526,
metastasi,total,,,,,,,,0.7491039426523298,0.5555555555555556,0.500874977542587,
morfologia,total,,,,,,,,0.7604114941021053,,0.6562618918971406,
riflessione_peritoneale_anteriore,total,,,,,,,,0.5686342736113962,,0.3585392494077811,
infiltrazione_tessuto_adiposo,total,,,,,,,,0.7777804705522392,,0.6689626796864379,
stadio_T,total,,,,,,,,0.817851307043577,,0.757451801610928,
posizione,total,,,,,,,,0.9499595065837025,,,0.9473015873015872
posizione_basso,total,,,,,,,,0.9671792948237059,0.9612403100775194,,
posizione_medio,total,,,,,,,,0.9527310924369747,0.9642857142857143,,
posizione_alto,total,,,,,,,,0.9836089458730968,0.9806949806949807,,
posizione_giunzione,total,,,,,,,,0.9425203459727747,0.8936170212765957,,
infiltrazione_organi_dettagli,total,,,,,,,,0.5396825396825397,,,0.13280423280423279
infiltrazione_organi_dettagli_muscolo_elevatore,total,,,,,,,,0.7959183673469388,0.6190476190476191,,
infiltrazione_organi_dettagli_pavimento_pelvico,total,,,,,,,,0.5663265306122449,0.19047619047619047,,
infiltrazione_organi_dettagli_altro,total,,,,,,,,0.8901098901098901,0.8095238095238095,,
sedi_linfonodi,total,,,,,,,,0.6779073418514294,,,0.6204837490551777
sedi_linfonodi_mesorettali,total,,,,,,,,0.7151581216167673,0.8381374722838137,,
sedi_linfonodi_rettali_superiori,total,,,,,,,,0.8469371930731455,0.8226415094339623,,
sedi_linfonodi_otturatori,total,,,,,,,,0.8233608174624603,0.6966292134831461,,
sedi_linfonodi_iliaci,total,,,,,,,,0.8265456708002026,0.6987951807228916,,
sedi_linfonodi_altro,total,,,,,,,,0.6391752577319587,0.3333333333333333,,
ore_inizio,val-test,1.1971830985915493,0.26331981789728265,0.6681071737251512,0.4375,0.7,,,,,,
ore_fine,val-test,1.380281690140845,0.5121395036887995,0.6681071737251512,0.4375,0.7,,,,,,
spessore_parietale,val-test,0.0,0.0,0.9715175789942145,1.0,0.9814814814814815,,,,,,
estensione_cranio_caudale,val-test,0.016260162601626018,0.00040504006480641036,0.9424201529464686,0.8,1.0,,,,,,
distanza_oai,val-test,0.6666666666666666,0.01098901098901099,0.7701149425287357,0.4375,0.875,,,,,,
linfonodi_sospetti,val-test,1.234375,0.23865211365211364,1.0,0.0,0.0,,,,,,
ore_iou,val-test,,,,,,0.5902763685966811,0.8444444444444444,,,,
infiltrazione_sfinteri,val-test,,,,,,,,0.6977567886658795,0.42857142857142855,0.4177028177018956,
infiltrazione_organi_extra,val-test,,,,,,,,0.8793363499245852,0.8076923076923077,0.7745153197109612,
coinvolgimento_riflessione_peritoneale,val-test,,,,,,,,0.9751456310679611,0.96,0.9502912621359223,
coinvolgimento_fascia_mesorettale,val-test,,,,,,,,0.9202988792029887,0.9090909090909091,0.8448096569846799,
numero_linfonodi_non_conosciuto,val-test,,,,,,,,0.5390377412849323,0.358974358974359,0.23109040809872658,
depositi_tumorali,val-test,,,,,,,,0.9416679325535471,0.896551724137931,0.8840220786405241,
emvi,val-test,,,,,,,,0.9145527369826435,0.8571428571428571,0.8420753583206844,
stadio_N,val-test,,,,,,,,0.7708267509215376,0.919431279620853,0.6011654311289465,
mrf,val-test,,,,,,,,0.9202988792029887,0.9090909090909091,0.8448096569846799,
metastasi,val-test,,,,,,,,0.772278829047388,0.5925925925925926,0.5450985812357123,
morfologia,val-test,,,,,,,,0.7186350999910323,,0.6551796975642468,
riflessione_peritoneale_anteriore,val-test,,,,,,,,0.6336562495602256,,0.49995711936183956,
infiltrazione_tessuto_adiposo,val-test,,,,,,,,0.7864357864357864,,0.6928264682935869,
stadio_T,val-test,,,,,,,,0.7408031969786795,,0.6810442786418281,
posizione,val-test,,,,,,,,0.951065408357075,,,0.9486979166666667
posizione_basso,val-test,,,,,,,,0.95,0.9375,,
posizione_medio,val-test,,,,,,,,0.9663777252429735,0.9753086419753086,,
posizione_alto,val-test,,,,,,,,0.9921293734243375,0.9914529914529915,,
posizione_giunzione,val-test,,,,,,,,0.9457627118644067,0.9,,
infiltrazione_organi_dettagli,val-test,,,,,,,,0.5178893178893179,,,0.12890625
infiltrazione_organi_dettagli_muscolo_elevatore,val-test,,,,,,,,0.791869918699187,0.6,,
infiltrazione_organi_dettagli_pavimento_pelvico,val-test,,,,,,,,0.5466351829988194,0.14285714285714285,,
infiltrazione_organi_dettagli_altro,val-test,,,,,,,,0.889423670245588,0.8108108108108109,,
sedi_linfonodi,val-test,,,,,,,,0.6557956848658542,,,0.5936383928571428
sedi_linfonodi_mesorettali,val-test,,,,,,,,0.7076979742173113,0.8287292817679558,,
sedi_linfonodi_rettali_superiori,val-test,,,,,,,,0.8282976684765251,0.7920792079207921,,
sedi_linfonodi_otturatori,val-test,,,,,,,,0.7737373737373738,0.6111111111111112,,
sedi_linfonodi_iliaci,val-test,,,,,,,,0.7965023847376789,0.6470588235294118,,
sedi_linfonodi_altro,val-test,,,,,,,,0.6745762711864407,0.4,,
ore_inizio,train,1.9651162790697674,0.3081923890063425,0.6393387417725394,0.475,0.6440677966101694,,,,,,
ore_fine,train,1.9186046511627908,0.6471114802510152,0.6393387417725394,0.475,0.6440677966101694,,,,,,
spessore_parietale,train,0.07692307692307693,0.004558404558404559,0.9033291976840364,0.9805194805194806,0.9556962025316456,,,,,,
estensione_cranio_caudale,train,0.01675977653631285,0.0003053278192942997,0.880460259961645,0.8333333333333334,0.7142857142857143,,,,,,
distanza_oai,train,0.4573170731707317,0.010386473429951693,0.8463182117028271,0.6190476190476191,0.8666666666666667,,,,,,
linfonodi_sospetti,train,1.1978609625668448,0.319537037037037,1.0,0.0,0.0,,,,,,
ore_iou,train,,,,,,0.5381623723869713,0.6363636363636364,,,,
infiltrazione_sfinteri,train,,,,,,,,0.6785100286532951,0.4,0.4132221986972327,
infiltrazione_organi_extra,train,,,,,,,,0.9612884527801929,0.9397590361445783,0.9254290458586865,
coinvolgimento_riflessione_peritoneale,train,,,,,,,,0.9811491935483871,0.96875,0.9622983870967742,
coinvolgimento_fascia_mesorettale,train,,,,,,,,0.8837064676616915,0.8507462686567164,0.7676494735787385,
numero_linfonodi_non_conosciuto,train,,,,,,,,0.5403496624545612,0.3486238532110092,0.2320699345495341,
depositi_tumorali,train,,,,,,,,0.9707080200501252,0.9473684210526315,0.9430530803862716,
emvi,train,,,,,,,,0.9632034632034632,0.9393939393939394,0.9264069264069265,
stadio_N,train,,,,,,,,0.7617834394904459,0.9235668789808917,0.5918295302020403,
mrf,train,,,,,,,,0.8837064676616915,0.8507462686567164,0.7676494735787385,
metastasi,train,,,,,,,,0.7347517730496453,0.5333333333333333,0.47874802497697166,
morfologia,train,,,,,,,,0.7864000464619659,,0.6621787833712176,
riflessione_peritoneale_anteriore,train,,,,,,,,0.5185562185562186,,0.2952678375510744,
infiltrazione_tessuto_adiposo,train,,,,,,,,0.7719994861701786,,0.6551030484787456,
stadio_T,train,,,,,,,,0.8669174595445309,,0.81126101632383,
posizione,train,,,,,,,,0.9481375639775314,,,0.9463458110516932
posizione_basso,train,,,,,,,,0.9782203587235034,0.9753086419753086,,
posizione_medio,train,,,,,,,,0.9435386473429952,0.9565217391304348,,
posizione_alto,train,,,,,,,,0.9772948033025741,0.971830985915493,,
posizione_giunzione,train,,,,,,,,0.9401216778738393,0.8888888888888888,,
infiltrazione_organi_dettagli,train,,,,,,,,0.5492654508611955,,,0.13547237076648838
infiltrazione_organi_dettagli_muscolo_elevatore,train,,,,,,,,0.7949561403508771,0.625,,
infiltrazione_organi_dettagli_pavimento_pelvico,train,,,,,,,,0.5753509496284063,0.21428571428571427,,
infiltrazione_organi_dettagli_altro,train,,,,,,,,0.8904938512590279,0.8085106382978723,,
sedi_linfonodi,train,,,,,,,,0.6922066006951944,,,0.6388591800356507
sedi_linfonodi_mesorettali,train,,,,,,,,0.7202991452991453,0.8444444444444444,,
sedi_linfonodi_rettali_superiori,train,,,,,,,,0.8588269454123112,0.8414634146341463,,
