field,split,mae,mape,f1_missing,precision_missing,recall_missing,iou_mean,iou_median,f1_macro,f1,mcc,f1_samples
ore_inizio,total,1.358695652173913,0.2533953667105841,0.7887788778877888,0.75,0.6,,,,,,
ore_fine,total,1.576086956521739,0.6911796536796536,0.7887788778877888,0.75,0.6,,,,,,
spessore_parietale,total,0.0,0.0,1.0,1.0,1.0,,,,,,
estensione_cranio_caudale,total,0.7479674796747967,0.024795283967245434,0.9424201529464686,0.8,1.0,,,,,,
distanza_oai,total,0.453781512605042,0.0,0.9333333333333333,0.875,0.875,,,,,,
linfonodi_sospetti,total,0.7109375,0.1872834372834373,1.0,0.0,0.0,,,,,,
ore_iou,total,,,,,,0.7127325148809524,1.0,,,,
infiltrazione_sfinteri,total,,,,,,,,0.7794732955943884,0.5882352941176471,0.5601675975251952,
infiltrazione_organi_extra,total,,,,,,,,0.8793363499245852,0.8076923076923077,0.7745153197109612,
coinvolgimento_riflessione_peritoneale,total,,,,,,,,0.9751456310679611,0.96,0.9502912621359223,
coinvolgimento_fascia_mesorettale,total,,,,,,,,0.9443305374339857,0.9369369369369369,0.8916491465684593,
numero_linfonodi_non_conosciuto,total,,,,,,,,0.8189755887597614,0.8034188034188035,0.6380524840158973,
depositi_tumorali,total,,,,,,,,0.91438127090301,0.8461538461538461,0.8415830964688563,
emvi,total,,,,,,,,0.9145527369826435,0.8571428571428571,0.8420753583206844,
stadio_N,total,,,,,,,,0.9166666666666667,0.9583333333333334,0.8364518967662506,
mrf,total,,,,,,,,0.9443305374339857,0.9369369369369369,0.8916491465684593,
metastasi,total,,,,,,,,0.7513597513597514,0.5454545454545454,0.5299706017918122,
morfologia,total,,,,,,,,0.7630415561450045,,0.7047904779156555,
riflessione_peritoneale_anteriore,total,,,,,,,,0.5703462262784297,,0.4433177966836959,
infiltrazione_tessuto_adiposo,total,,,,,,,,0.790463458110517,,0.6930178158546481,
stadio_T,total,,,,,,,,0.7783241005698633,,0.7166173228026033,
posizione,total,,,,,,,,0.957554657082959,,,0.94609375
posizione_basso,total,,,,,,,,0.9573759573759574,0.945054945054945,,
posizione_medio,total,,,,,,,,0.991700706736692,0.9937106918238994,,
posizione_alto,total,,,,,,,,0.9921293734243375,0.9914529914529915,,
posizione_giunzione,total,,,,,,,,0.9457627118644067,0.9,,
infiltrazione_organi_dettagli,total,,,,,,,,0.5770884520884522,,,0.13515624999999998
infiltrazione_organi_dettagli_muscolo_elevatore,total,,,,,,,,0.7625231910946196,0.5454545454545454,,
infiltrazione_organi_dettagli_pavimento_pelvico,total,,,,,,,,0.6666666666666667,0.375,,
infiltrazione_organi_dettagli_altro,total,,,,,,,,0.889423670245588,0.8108108108108109,,
sedi_linfonodi,total,,,,,,,,0.6942684686587125,,,0.5860491071428571
sedi_linfonodi_mesorettali,total,,,,,,,,0.8642629904559915,0.9024390243902439,,
sedi_linfonodi_rettali_superiori,total,,,,,,,,0.9134199134199135,0.8863636363636364,,
sedi_linfonodi_otturatori,total,,,,,,,,0.7593984962406015,0.5714285714285714,,
sedi_linfonodi_iliaci,total,,,,,,,,0.8136826783114992,0.6666666666666666,,
sedi_linfonodi_altro,total,,,,,,,,0.7012138188608776,0.4444444444444444,,
ore_inizio,val-test,1.358695652173913,0.2533953667105841,0.7887788778877888,0.75,0.6,,,,,,
ore_fine,val-test,1.576086956521739,0.6911796536796536,0.7887788778877888,0.75,0.6,,,,,,
spessore_parietale,val-test,0.0,0.0,1.0,1.0,1.0,,,,,,
estensione_cranio_caudale,val-test,0.7479674796747967,0.024795283967245434,0.9424201529464686,0.8,1.0,,,,,,
distanza_oai,val-test,0.453781512605042,0.0,0.9333333333333333,0.875,0.875,,,,,,
linfonodi_sospetti,val-test,0.7109375,0.1872834372834373,1.0,0.0,0.0,,,,,,
ore_iou,val-test,,,,,,0.7127325148809524,1.0,,,,
infiltrazione_sfinteri,val-test,,,,,,,,0.7794732955943884,0.5882352941176471,0.5601675975251952,
infiltrazione_organi_extra,val-test,,,,,,,,0.8793363499245852,0.8076923076923077,0.7745153197109612,
coinvolgimento_riflessione_peritoneale,val-test,,,,,,,,0.9751456310679611,0.96,0.9502912621359223,
coinvolgimento_fascia_mesorettale,val-test,,,,,,,,0.9443305374339857,0.9369369369369369,0.8916491465684593,
numero_linfonodi_non_conosciuto,val-test,,,,,,,,0.8189755887597614,0.8034188034188035,0.6380524840158973,
depositi_tumorali,val-test,,,,,,,,0.91438127090301,0.8461538461538461,0.8415830964688563,
emvi,val-test,,,,,,,,0.9145527369826435,0.8571428571428571,0.8420753583206844,
stadio_N,val-test,,,,,,,,0.9166666666666667,0.9583333333333334,0.8364518967662506,
mrf,val-test,,,,,,,,0.9443305374339857,0.9369369369369369,0.8916491465684593,
metastasi,val-test,,,,,,,,0.7513597513597514,0.5454545454545454,0.5299706017918122,
morfologia,val-test,,,,,,,,0.7630415561450045,,0.7047904779156555,
riflessione_peritoneale_anteriore,val-test,,,,,,,,0.5703462262784297,,0.4433177966836959,
infiltrazione_tessuto_adiposo,val-test,,,,,,,,0.790463458110517,,0.6930178158546481,
stadio_T,val-test,,,,,,,,0.7783241005698633,,0.7166173228026033,
posizione,val-test,,,,,,,,0.957554657082959,,,0.94609375
posizione_basso,val-test,,,,,,,,0.9573759573759574,0.945054945054945,,
posizione_medio,val-test,,,,,,,,0.991700706736692,0.9937106918238994,,
posizione_alto,val-test,,,,,,,,0.9921293734243375,0.9914529914529915,,
posizione_giunzione,val-test,,,,,,,,0.9457627118644067,0.9,,
infiltrazione_organi_dettagli,val-test,,,,,,,,0.5770884520884522,,,0.13515624999999998
infiltrazione_organi_dettagli_muscolo_elevatore,val-test,,,,,,,,0.7625231910946196,0.5454545454545454,,
infiltrazione_organi_dettagli_pavimento_pelvico,val-test,,,,,,,,0.6666666666666667,0.375,,
infiltrazione_organi_dettagli_altro,val-test,,,,,,,,0.889423670245588,0.8108108108108109,,
sedi_linfonodi,val-test,,,,,,,,0.6942684686587125,,,0.5860491071428571
sedi_linfonodi_mesorettali,val-test,,,,,,,,0.8642629904559915,0.9024390243902439,,
sedi_linfonodi_rettali_superiori,val-test,,,,,,,,0.9134199134199135,0.8863636363636364,,
sedi_linfonodi_otturatori,val-test,,,,,,,,0.7593984962406015,0.5714285714285714,,
sedi_linfonodi_iliaci,val-test,,,,,,,,0.8136826783114992,0.6666666666666666,,
sedi_linfonodi_altro,val-test,,,,,,,,0.7012138188608776,0.4444444444444444,,
ore_iou,train,,,,,,,,,,,
ore_inizio,validation,1.5510204081632653,0.2622294372294372,0.7622641509433963,0.75,0.5,,,,,,
ore_fine,validation,2.163265306122449,1.0604882645698972,0.7622641509433963,0.75,0.5,,,,,,
spessore_parietale,validation,0.0,0.0,1.0,1.0,1.0,,,,,,
estensione_cranio_caudale,validation,0.03225806451612903,0.0008035472253417497,0.496,0.0,0.0,,,,,,
distanza_oai,validation,0.45,0.0,0.8958677685950414,1.0,0.6666666666666666,,,,,,
linfonodi_sospetti,validation,0.5873015873015873,0.14430894308943087,1.0,0.0,0.0,,,,,,
ore_iou,validation,,,,,,0.6900226757369615,1.0,,,,
infiltrazione_sfinteri,validation,,,,,,,,0.7827586206896552,0.6,0.5655172413793104,
infiltrazione_organi_extra,validation,,,,,,,,0.9292929292929293,0.8888888888888888,0.8677218312746248,
coinvolgimento_riflessione_peritoneale,validation,,,,,,,,0.9714285714285714,0.9523809523809523,0.9444248251866404,
coinvolgimento_fascia_mesorettale,validation,,,,,,,,0.9490977646108268,0.9361702127659575,0.898740292694377,
numero_linfonodi_non_conosciuto,validation,,,,,,,,0.8246901087781432,0.8135593220338984,0.6497989022102638,
depositi_tumorali,validation,,,,,,,,0.9501976284584981,0.9090909090909091,0.9049671360007385,
emvi,validation,,,,,,,,0.9405660377358491,0.9,0.8876253645985946,
stadio_N,validation,,,,,,,,0.95625,0.9791666666666666,0.9161253813129043,
mrf,validation,,,,,,,,0.9490977646108268,0.9361702127659575,0.898740292694377,
metastasi,validation,,,,,,,,0.7509881422924901,0.5454545454545454,0.5863019699779287,
