field,split,mae,mape,f1_missing,precision_missing,recall_missing,iou_mean,iou_median,f1_macro,f1,mcc,f1_samples
ore_inizio,total,0.10222222222222223,0.02397530864197531,0.8737021111863845,0.9838709677419355,0.6853932584269663,,,,,,
ore_fine,total,0.2088888888888889,0.0418908128908129,0.8737021111863845,0.9838709677419355,0.6853932584269663,,,,,,
spessore_parietale,total,0.022727272727272728,0.002272727272727273,0.9340866290018832,0.9811320754716981,0.9774436090225563,,,,,,
estensione_cranio_caudale,total,0.04983388704318937,0.0006967998854471926,0.8871857316811117,0.75,0.8181818181818182,,,,,,
distanza_oai,total,0.21611721611721613,0.010750360750360751,0.791264513526751,0.5,0.8260869565217391,,,,,,
linfonodi_sospetti,total,0.707936507936508,0.22878006872852238,1.0,0.0,0.0,,,,,,
ore_iou,total,,,,,,0.8868442932728648,1.0,,,,
infiltrazione_sfinteri,total,,,,,,,,0.6856696602889496,0.41025641025641024,0.412992602382047,
infiltrazione_organi_extra,total,,,,,,,,0.9084428398782297,0.8549618320610687,0.8287920422898134,
coinvolgimento_riflessione_peritoneale,total,,,,,,,,0.9507889392282456,0.918918918918919,0.9020786954533614,
coinvolgimento_fascia_mesorettale,total,,,,,,,,0.9217585692995529,0.9090909090909091,0.8463367679796223,
numero_linfonodi_non_conosciuto,total,,,,,,,,0.5209478021978022,0.31868131868131866,0.2101766595951736,
depositi_tumorali,total,,,,,,,,0.9652164310954063,0.9375,0.9310037984430145,
emvi,total,,,,,,,,0.9611720579689729,0.9357798165137615,0.9237992807126233,
stadio_N,total,,,,,,,,0.9343593712788759,0.97165991902834,0.8701659509112537,
mrf,total,,,,,,,,0.9217585692995529,0.9090909090909091,0.8463367679796223,
metastasi,total,,,,,,,,0.6951310303752234,0.43478260869565216,0.45016514941863217,
morfologia,total,,,,,,,,0.7582061653490225,,0.682301739933177,
riflessione_peritoneale_anteriore,total,,,,,,,,0.5367511737089202,,0.3504662665397688,
infiltrazione_tessuto_adiposo,total,,,,,,,,0.7620048260069341,,0.6232093513666084,
stadio_T,total,,,,,,,,0.8033406802853371,,0.7076744655315035,
posizione,total,,,,,,,,0.9559238038270541,,,0.9446560846560846
posizione_basso,total,,,,,,,,0.9415560319947225,0.9328358208955224,,
posizione_medio,total,,,,,,,,0.9457971263873355,0.9593908629441624,,
posizione_alto,total,,,,,,,,0.9803534303534304,0.9769230769230769,,
posizione_giunzione,total,,,,,,,,0.975566242631089,0.9545454545454546,,
infiltrazione_organi_dettagli,total,,,,,,,,0.5134092809126466,,,0.12211640211640212
infiltrazione_organi_dettagli_muscolo_elevatore,total,,,,,,,,0.7521636506687648,0.5365853658536586,,
infiltrazione_organi_dettagli_pavimento_pelvico,total,,,,,,,,0.5881700408066242,0.23255813953488372,,
infiltrazione_organi_dettagli_altro,total,,,,,,,,0.868174709808154,0.7710843373493976,,
sedi_linfonodi,total,,,,,,,,0.7874459582490348,,,0.6492693373645755
sedi_linfonodi_mesorettali,total,,,,,,,,0.8872785829307568,0.9227053140096618,,
sedi_linfonodi_rettali_superiori,total,,,,,,,,0.9130425549987259,0.8934426229508197,,
sedi_linfonodi_otturatori,total,,,,,,,,0.9399591558883594,0.8923076923076924,,
sedi_linfonodi_iliaci,total,,,,,,,,0.8457172491284681,0.7213114754098361,,
sedi_linfonodi_altro,total,,,,,,,,0.7244240608679515,0.5074626865671642,,
ore_inizio,val-test,0.07216494845360824,0.015463917525773196,0.8045403644507787,0.9411764705882353,0.5333333333333333,,,,,,
ore_fine,val-test,0.16494845360824742,0.027671784115083083,0.8045403644507787,0.9411764705882353,0.5333333333333333,,,,,,
spessore_parietale,val-test,0.0,0.0,0.9854792966534316,1.0,0.9907407407407407,,,,,,
estensione_cranio_caudale,val-test,0.016260162601626018,0.00040504006480641036,0.9424201529464686,0.8,1.0,,,,,,
distanza_oai,val-test,0.18867924528301888,0.011235955056179775,0.735693215339233,0.36363636363636365,1.0,,,,,,
linfonodi_sospetti,val-test,0.7421875,0.17454954954954954,1.0,0.0,0.0,,,,,,
ore_iou,val-test,,,,,,0.8626767113095238,1.0,,,,
infiltrazione_sfinteri,val-test,,,,,,,,0.6977567886658795,0.42857142857142855,0.4177028177018956,
infiltrazione_organi_extra,val-test,,,,,,,,0.850873786407767,0.76,0.726984126984127,
coinvolgimento_riflessione_peritoneale,val-test,,,,,,,,0.9254368932038834,0.88,0.850873786407767,
coinvolgimento_fascia_mesorettale,val-test,,,,,,,,0.9369458128078818,0.9310344827586207,0.8738916256157635,
numero_linfonodi_non_conosciuto,val-test,,,,,,,,0.4921775582004641,0.273972602739726,0.1781102274139186,
