field,split,mae,mape,f1_missing,precision_missing,recall_missing,iou_mean,iou_median,f1_macro,f1,mcc,f1_samples
ore_inizio,total,1.261061946902655,0.17001653705193528,0.5738885639075753,1.0,0.16853932584269662,,,,,,
ore_fine,total,1.3628318584070795,0.27384671621397283,0.5738885639075753,1.0,0.16853932584269662,,,,,,
spessore_parietale,total,0.020833333333333332,0.0020833333333333333,0.927890964799521,0.996078431372549,0.9548872180451128,,,,,,
estensione_cranio_caudale,total,0.47854785478547857,0.014371200025164581,0.8967213114754098,0.8888888888888888,0.7272727272727273,,,,,,
distanza_oai,total,0.676056338028169,0.015099715099715099,0.8561593312023605,0.6923076923076923,0.782608695652174,,,,,,
linfonodi_sospetti,total,1.1777777777777778,0.27771609833465505,1.0,0.0,0.0,,,,,,
ore_iou,total,,,,,,0.6232744680363728,0.7142857142857143,,,,
infiltrazione_sfinteri,total,,,,,,,,0.7310671936758892,0.509090909090909,0.46224311697092024,
infiltrazione_organi_extra,total,,,,,,,,0.9335232668566003,0.9012345679012346,0.8732882419387777,
coinvolgimento_riflessione_peritoneale,total,,,,,,,,0.9485294117647058,0.9166666666666666,0.8988334310581164,
coinvolgimento_fascia_mesorettale,total,,,,,,,,0.9247733856648912,0.9118773946360154,0.8511470514282518,
numero_linfonodi_non_conosciuto,total,,,,,,,,0.3950827653359299,0.08974358974358974,0.02132775997293877,
depositi_tumorali,total,,,,,,,,0.9661508704061896,0.9393939393939394,0.9323017408123792,
emvi,total,,,,,,,,0.8326416909579127,0.7412587412587412,0.6929630069843674,
stadio_N,total,,,,,,,,0.7804721145083182,0.9254302103250478,0.6181491374355773,
mrf,total,,,,,,,,0.9247733856648912,0.9118773946360154,0.8511470514282518,
metastasi,total,,,,,,,,0.6866069727567156,0.45977011494252873,0.39450050992249885,
morfologia,total,,,,,,,,0.8337605124824861,,0.7055295832013249,
riflessione_peritoneale_anteriore,total,,,,,,,,0.5670567893480962,,0.35795748343128647,
infiltrazione_tessuto_adiposo,total,,,,,,,,0.7247971781305115,,0.5929288620157114,
stadio_T,total,,,,,,,,0.8107587188889266,,0.7491590019365929,
posizione,total,,,,,,,,0.9344017345550618,,,0.9390476190476189
posizione_basso,total,,,,,,,,0.9575739994405363,0.9505703422053232,,
posizione_medio,total,,,,,,,,0.9282296650717703,0.9473684210526315,,
posizione_alto,total,,,,,,,,0.9803534303534304,0.9769230769230769,,
posizione_giunzione,total,,,,,,,,0.9253276440109723,0.8627450980392157,,
infiltrazione_organi_dettagli,total,,,,,,,,0.5431463960875725,,,0.15851851851851848
infiltrazione_organi_dettagli_muscolo_elevatore,total,,,,,,,,0.7546479731789089,0.5490196078431373,,
infiltrazione_organi_dettagli_pavimento_pelvico,total,,,,,,,,0.6090598820974247,0.2727272727272727,,
infiltrazione_organi_dettagli_altro,total,,,,,,,,0.8848347470020475,0.8076923076923077,,
sedi_linfonodi,total,,,,,,,,0.7246291149943785,,,0.6348979591836734
sedi_linfonodi_mesorettali,total,,,,,,,,0.7091642924976258,0.8504273504273504,,
sedi_linfonodi_rettali_superiori,total,,,,,,,,0.8410548970744215,0.8178438661710037,,
sedi_linfonodi_otturatori,total,,,,,,,,0.8423139304379168,0.7311827956989247,,
sedi_linfonodi_iliaci,total,,,,,,,,0.8137576709005281,0.6813186813186813,,
sedi_linfonodi_altro,total,,,,,,,,0.7475437086289294,0.5423728813559322,,
ore_inizio,val-test,1.1122448979591837,0.16212894248608534,0.5,1.0,0.06666666666666667,,,,,,
ore_fine,val-test,1.4591836734693877,0.27015747857584593,0.5,1.0,0.06666666666666667,,,,,,
spessore_parietale,val-test,0.0,0.0,0.9580740255486406,1.0,0.9722222222222222,,,,,,
estensione_cranio_caudale,val-test,1.1451612903225807,0.034675967161057974,1.0,1.0,1.0,,,,,,
distanza_oai,val-test,0.9824561403508771,0.021739130434782608,0.7830508474576271,0.5,0.75,,,,,,
linfonodi_sospetti,val-test,1.28125,0.21094941094941094,1.0,0.0,0.0,,,,,,
ore_iou,val-test,,,,,,0.6209883432539682,0.7142857142857143,,,,
infiltrazione_sfinteri,val-test,,,,,,,,0.8010878010878011,0.6363636363636364,0.615633332411645,
infiltrazione_organi_extra,val-test,,,,,,,,0.938755980861244,0.9090909090909091,0.8844845533812719,
coinvolgimento_riflessione_peritoneale,val-test,,,,,,,,0.9405149177432848,0.9056603773584906,0.8833789623504964,
