field,split,mae,mape,f1_missing,precision_missing,recall_missing,iou_mean,iou_median,f1_macro,f1,mcc,f1_samples
ore_inizio,total,1.3271028037383177,0.22102803738317756,0.7725,0.8032786885245902,0.550561797752809,,,,,,
ore_fine,total,1.3504672897196262,0.4555596013539939,0.7725,0.8032786885245902,0.550561797752809,,,,,,
spessore_parietale,total,0.2127659574468085,0.0056737588652482265,0.9477717801809105,0.9923371647509579,0.9736842105263158,,,,,,
estensione_cranio_caudale,total,0.09900990099009901,0.0012133052883224762,0.8643293996037558,0.875,0.6363636363636364,,,,,,
distanza_oai,total,0.859375,0.021123899796885576,0.7177743573250017,0.35714285714285715,0.8695652173913043,,,,,,
linfonodi_sospetti,total,1.034920634920635,0.2476187329280113,1.0,0.0,0.0,,,,,,
ore_iou,total,,,,,,0.6961808561808562,1.0,,,,
infiltrazione_sfinteri,total,,,,,,,,0.7067949115730685,0.45454545454545453,0.42874886076043267,
infiltrazione_organi_extra,total,,,,,,,,0.9357142857142857,0.9,0.8739057572458526,
coinvolgimento_riflessione_peritoneale,total,,,,,,,,0.9835963130760819,0.972972972972973,0.9677185173678472,
coinvolgimento_fascia_mesorettale,total,,,,,,,,0.8964837331580677,0.8823529411764706,0.8004888944116988,
numero_linfonodi_non_conosciuto,total,,,,,,,,0.792815583101442,0.8059701492537313,0.6286331417532917,
depositi_tumorali,total,,,,,,,,0.9415444977598686,0.8955223880597015,0.8832152800016593,
emvi,total,,,,,,,,0.9617247305108576,0.9369369369369369,0.9239586360915234,
stadio_N,total,,,,,,,,0.872136258098037,0.9508840864440079,0.7636622668215016,
mrf,total,,,,,,,,0.8964837331580677,0.8823529411764706,0.8004888944116988,
metastasi,total,,,,,,,,0.7853248523398455,0.6129032258064516,0.5723105204997444,
morfologia,total,,,,,,,,0.8078357297307187,,0.7020337978426869,
riflessione_peritoneale_anteriore,total,,,,,,,,0.6154422210702689,,0.4174344476471528,
infiltrazione_tessuto_adiposo,total,,,,,,,,0.8113780806088497,,0.7023188906570511,
stadio_T,total,,,,,,,,0.873551376820848,,0.8116004271008349,
posizione,total,,,,,,,,0.9605935833968012,,,0.9335147392290248
posizione_basso,total,,,,,,,,0.9473596256684492,0.9375,,
posizione_medio,total,,,,,,,,0.9102996582844125,0.9356435643564357,,
posizione_alto,total,,,,,,,,0.9738045738045737,0.9692307692307692,,
posizione_giunzione,total,,,,,,,,1.0,1.0,,
infiltrazione_organi_dettagli,total,,,,,,,,0.560655241554118,,,0.14222222222222222
infiltrazione_organi_dettagli_muscolo_elevatore,total,,,,,,,,0.7726495726495726,0.5777777777777777,,
infiltrazione_organi_dettagli_pavimento_pelvico,total,,,,,,,,0.6090598820974247,0.2727272727272727,,
infiltrazione_organi_dettagli_altro,total,,,,,,,,0.901867120812478,0.8314606741573034,,
sedi_linfonodi,total,,,,,,,,0.7241089827955817,,,0.6486092214663642
sedi_linfonodi_mesorettali,total,,,,,,,,0.7933785733878758,0.8747152619589977,,
sedi_linfonodi_rettali_superiori,total,,,,,,,,0.8612548015364917,0.8436363636363636,,
sedi_linfonodi_otturatori,total,,,,,,,,0.9153771760154739,0.8484848484848485,,
sedi_linfonodi_iliaci,total,,,,,,,,0.8351475821645384,0.7058823529411765,,
sedi_linfonodi_altro,total,,,,,,,,0.6482281119714115,0.34782608695652173,,
ore_inizio,val-test,0.978021978021978,0.163009213009213,0.6666666666666666,0.6111111111111112,0.36666666666666664,,,,,,
ore_fine,val-test,1.120879120879121,0.45658468515611383,0.6666666666666666,0.6111111111111112,0.36666666666666664,,,,,,
spessore_parietale,val-test,0.0,0.0,0.9854792966534316,1.0,0.9907407407407407,,,,,,
estensione_cranio_caudale,val-test,0.016260162601626018,0.00040504006480641036,0.9424201529464686,0.8,1.0,,,,,,
distanza_oai,val-test,1.5957446808510638,0.039786967418546364,0.6297285269247885,0.23529411764705882,1.0,,,,,,
linfonodi_sospetti,val-test,1.078125,0.15914760914760914,1.0,0.0,0.0,,,,,,
ore_iou,val-test,,,,,,0.6793718434343434,1.0,,,,
infiltrazione_sfinteri,val-test,,,,,,,,0.7609710550887021,0.5555555555555556,0.5219421101774043,
infiltrazione_organi_extra,val-test,,,,,,,,0.8826549321598827,0.8148148148148148,0.7737404871993481,
coinvolgimento_riflessione_peritoneale,val-test,,,,,,,,1.0,1.0,1.0,
coinvolgimento_fascia_mesorettale,val-test,,,,,,,,0.9369458128078818,0.9310344827586207,0.8738916256157635,
numero_linfonodi_non_conosciuto,val-test,,,,,,,,0.7956276099238517,0.8115942028985508,0.6315273987330979,
depositi_tumorali,val-test,,,,,,,,0.9416679325535471,0.896551724137931,0.8840220786405241,
emvi,val-test,,,,,,,,0.9301233759144012,0.8837209302325582,0.8691097065141928,
stadio_N,val-test,,,,,,,,0.865327594452415,0.9463414634146341,0.7509000056439159,
mrf,val-test,,,,,,,,0.9369458128078818,0.9310344827586207,0.8738916256157635,
metastasi,val-test,,,,,,,,0.7561904761904762,0.56,0.517723869335875,
morfologia,val-test,,,,,,,,0.7863707379836412,,0.707415399818486,
riflessione_peritoneale_anteriore,val-test,,,,,,,,0.7229293809938971,,0.5864350721998932,
infiltrazione_tessuto_adiposo,val-test,,,,,,,,0.8288439955106622,,0.7733341800324107,
stadio_T,val-test,,,,,,,,0.8445760602697339,,0.7956408938169585,
posizione,val-test,,,,,,,,0.9596051637387736,,,0.93671875
posizione_basso,val-test,,,,,,,,0.932755450485947,0.9148936170212766,,
posizione_medio,val-test,,,,,,,,0.9134199134199135,0.9404761904761905,,
posizione_alto,val-test,,,,,,,,0.9842790469172193,0.9830508474576272,,
posizione_giunzione,val-test,,,,,,,,1.0,1.0,,
infiltrazione_organi_dettagli,val-test,,,,,,,,0.4774436090225564,,,0.12760416666666666
infiltrazione_organi_dettagli_muscolo_elevatore,val-test,,,,,,,,0.7377049180327868,0.5,,
infiltrazione_organi_dettagli_pavimento_pelvico,val-test,,,,,,,,0.5466351829988194,0.14285714285714285,,
infiltrazione_organi_dettagli_altro,val-test,,,,,,,,0.8763882182520522,0.7894736842105263,,
sedi_linfonodi,val-test,,,,,,,,0.7133230890634071,,,0.6310267857142857
sedi_linfonodi_mesorettali,val-test,,,,,,,,0.789458628334406,0.8700564971751412,,
sedi_linfonodi_rettali_superiori,val-test,,,,,,,,0.8781648581762802,0.8543689320388349,,
sedi_linfonodi_otturatori,val-test,,,,,,,,0.8550865275756105,0.7407407407407407,,
sedi_linfonodi_iliaci,val-test,,,,,,,,0.8136826783114992,0.6666666666666666,,
sedi_linfonodi_altro,val-test,,,,,,,,0.6894943086396715,0.43478260869565216,,
ore_inizio,train,1.5853658536585367,0.2639525334647286,0.8247549019607843,0.8837209302325582,0.6440677966101694,,,,,,
ore_fine,train,1.5203252032520325,0.4548012060207182,0.8247549019607843,0.8837209302325582,0.6440677966101694,,,,,,
spessore_parietale,train,0.37037037037037035,0.009876543209876543,0.9226633581472291,0.987012987012987,0.9620253164556962,,,,,,
estensione_cranio_caudale,train,0.15555555555555556,0.001765619857725121,0.7945054945054946,1.0,0.42857142857142855,,,,,,
distanza_oai,train,0.43209876543209874,0.010617283950617284,0.8050364904964311,0.5454545454545454,0.8,,,,,,
linfonodi_sospetti,train,1.0053475935828877,0.3021759259259259,1.0,0.0,0.0,,,,,,
ore_iou,train,,,,,,0.7076864905741912,1.0,,,,
infiltrazione_sfinteri,train,,,,,,,,0.6693191865605659,0.38461538461538464,0.378987922029988,
infiltrazione_organi_extra,train,,,,,,,,0.9697997416020672,0.9534883720930233,0.9400378789408582,
coinvolgimento_riflessione_peritoneale,train,,,,,,,,0.9706175037972031,0.9508196721311475,0.9428906201246183,
coinvolgimento_fascia_mesorettale,train,,,,,,,,0.86803105151729,0.8461538461538461,0.7572401854185358,
numero_linfonodi_non_conosciuto,train,,,,,,,,0.7908457369009723,0.8020304568527918,0.6266235747934641,
depositi_tumorali,train,,,,,,,,0.9414160401002507,0.8947368421052632,0.8843867709943113,
emvi,train,,,,,,,,0.9820261437908497,0.9705882352941176,0.9646824580648076,
stadio_N,train,,,,,,,,0.8769736842105263,0.9539473684210527,0.7727469608827967,
mrf,train,,,,,,,,0.86803105151729,0.8461538461538461,0.7572401854185358,
metastasi,train,,,,,,,,0.8050364904964311,0.6486486486486487,0.6103788356153753,
morfologia,train,,,,,,,,0.8238818700357161,,0.7105499971803325,
riflessione_peritoneale_anteriore,train,,,,,,,,0.5297582060907334,,0.3218899493456305,
infiltrazione_tessuto_adiposo,train,,,,,,,,0.7958888567855243,,0.6557277521854702,
stadio_T,train,,,,,,,,0.8905541430989359,,0.8233163027369779,
posizione,train,,,,,,,,0.9601417881635913,,,0.9313216195569136
posizione_basso,train,,,,,,,,0.9564407174470068,0.9506172839506173,,
posizione_medio,train,,,,,,,,0.9081306804225007,0.9322033898305084,,
posizione_alto,train,,,,,,,,0.9659422049538611,0.9577464788732394,,
posizione_giunzione,train,,,,,,,,1.0,1.0,,
